Nachname|Vorname|Geburtsdatum|Erzieherart|Anrede 1.Person|Titel 1.Person|Nachname 1.Person|Vorname 1.Person|Anrede 2.Person|Titel 2.Person|Nachname 2.Person|Vorname 2.Person|Straße|PLZ|Ort|Ortsteil|E-Mail 1. Person|Anschreiben|E-Mail 2. Person
Gervaisot|Klaus|18.05.2004|Eltern|Frau||Gervaisot|Gülcin|Herr||Gervaisot|Hakan|Am Bahnhof Wuhlheide 33|46499|Hamminkeln||Gervaisot@email.de|J|hakanisik1971@gmail.com
Gieben|David|06.01.2006|Eltern|Frau||Gieben|Ilona|Herr||Gieben|Torsten|Argenauer Straße 11|58509|Lüdenscheid||Gieben@email.de|J|
Giessler|Klaus|02.04.2009|Eltern|Frau||Giessler|Nadja|Frau||Giessler|Damir|Pohlestraße 251|44145|Dortmund||Giessler@email.de|J|damirsamir@freenet.de
Gigel|Sophie|07.05.2008|Mutter|Frau||Gigel|Natalia|||||Forststraße 480|49509|Recke||Gigel@email.de|J|
Gildemeister|Dominik|05.08.2003|Schüler ist volljährig|Herr||Gildemeister|Dominik|||||Dickensweg 24|57399|Kirchhundem|||J|
Gildemeister|Dominik|05.08.2003|Eltern|Frau||Gildemeister|Ulrike|Herr||Gildemeister|Norman|Dickensweg 24|57399|Kirchhundem||Gildemeister@email.de|J|
Giske|Anke|10.04.2004|Eltern|Frau||Giske|Raidah|Herr||Giske|Harbi|Mentzelstraße 472|50858|Köln||Giske@email.de|J|
Gockel|Anna|18.06.2006|Eltern|Frau||Gockel|Melanie|Herr||Gockel|Koffi|Kaiser-Wilhelm-Straße 445|47803|Krefeld||Gockel@email.de|J|
Gogol|Ines|10.12.2004|Mutter|Frau||Gogol|Anika|||||Birkenallee 241|34434|Borgentreich||Gogol@email.de|J|
Goltschmit|Andrea|14.08.2008|Eltern|Frau||Goltschmit|Kristina|Herr||Goltschmit|Valer|Liebknechtplatz 403|40883|Ratingen||Goltschmit@email.de|J|v.schmidt@hotmail.de
Gramann|Christin|19.02.2005|Eltern|Frau||Gramann|Barbara|Herr||Gramann|Georg|Schießgasse 262|51469|Bergisch Gladbach||Gramann@email.de|J|Georg.Salzner@gmx.de
Grant|Klaudia|22.11.2004|Eltern|Frau||Grant|Vera|Herr||Grant|Timothy Le Ray|Gießplatz 248|40476|Düsseldorf||Grant@email.de|J|
Gras|Ralf|18.01.2004|Eltern|Frau||Gras|Semra|Herr||Gras|Engin|Michaelisweg 424|32278|Kirchlengern||Gras@email.de|J|
Grebe|Nadine|11.09.2010|Eltern|Frau||Grebe|Halima|Herr||Grebe|Sidi Abdelouhab|Karl-Liebknecht-Straße 161|47624|Kevelaer||Grebe@email.de|J|
Grewe|Sarah|06.05.2010|Mutter|Frau||Grewe|Annica|||||Schloßparkstraße 273|59174|Kamen||Grewe@email.de|J|
Grewe|Sarah|06.05.2010|Vater|Herr||Grewe|Yosri|||||Schloßparkstraße 273|59174|Kamen||Grewe@email.de|J|
Gröper|Manuela|30.08.2007|Eltern|Frau||Gröper|Claudia|Herr||Gröper|Ulrich|Gartenweg 277|41238|Mönchengladbach||Gröper@email.de|J|
Grosse-Hündfeld|Dominik|21.10.2005|Eltern|Frau||Grosse-Hündfeld|Elke|Herr||Grosse-Hündfeld|Wolfgang|Am Krusenick 330|52064|Aachen||Grosse-Hündfeld@email.de|J|
Große-Vorspoel|Klaus|31.12.2006|Großeltern|Frau||Große-Vorspoel|Silke|Herr||Große-Vorspoel|Dirk|Droysenstraße 6|59510|Lippetal||Große-Vorspoel@email.de|J|
Grötschel|Martin|08.02.2007|Eltern|Frau||Grötschel|Hilal|Herr||Grötschel|Hicret|Friedrichshagener Chaussee 130|48143|Münster||Grötschel@email.de|J|
Grünewald|Klaudia|27.06.2007|Eltern|Frau||Grünewald|Kader|Herr||Grünewald|Ramazan|Plönzeile 16|58579|Schalksmühle||Grünewald@email.de|J|
Grünholz|Christian|04.12.2008|Eltern|Frau||Grünholz|Anja-Sabine|Herr||Grünholz|Markus Andreas|Schloßfreiheit 364|46569|Hünxe||Grünholz@email.de|J|
Gulich|Katja|18.03.2003|Schülerin ist volljährig|Frau||Gulich|Katja|||||Eichkatzweg 497|45881|Gelsenkirchen|||J|
Gulich|Katja|18.03.2003|Eltern|Frau||Gulich|Danijela|Herrn||Gulich|Nebojsa|Eichkatzweg 497|45881|Gelsenkirchen||Gulich@email.de|J|
Gülpen|Ralph|29.03.2010|Eltern|Frau||Gülpen|Gelis|Herr||Gülpen|Gilmas|Falterweg 317|48145|Münster||Gülpen@email.de|J|
Gumpert|Antje|20.02.2003|Schülerin ist volljährig|Frau||Gumpert|Antje|||||Fürstenbrunner Weg 70|42855|Remscheid|||J|
Gumpert|Antje|20.02.2003|Eltern|Frau||Gumpert|Sammy|Herr||Gumpert|Zaidan|Fürstenbrunner Weg 70|42855|Remscheid||Gumpert@email.de|J|
Günst|Benjamin|15.05.2003|Schüler ist volljährig|Herr||Günst|Benjamin|||||Sandschurrepfad 67|41836|Hückelhoven|||J|
Günst|Benjamin|15.05.2003|Eltern|Frau||Günst|Ina|Herr||Günst|Markus|Sandschurrepfad 67|41836|Hückelhoven||Günst@email.de|J|
Haardt|Ute|09.02.2007|Eltern|Frau||Haardt|Ricarda|Herr||Haardt|Guido|Bolivarallee 334|45529|Hattingen||Haardt@email.de|J|guidoksp@web.de
Haaren|Stefanie|11.08.2008|Ansprechpartner|Frau||Haaren|Alesya|Herr||Haaren|Max|Aschenbrödelstraße 236|52391|Vettweiß||Haaren@email.de|J|
Hackewitz|Dieter|27.12.2003|Mutter|Frau||Hackewitz|Katharina|||||Kalkscheunenquergasse 78|41517|Grevenbroich||Hackewitz@email.de|J|
Hackewitz|Dieter|27.12.2003|Vater|Herr||Hackewitz|Markus|||||Kalkscheunenquergasse 78|41517|Grevenbroich||Hackewitz@email.de|J|
Hannemann|Kristian|03.05.2009|Eltern|Frau||Hannemann|Julia|Herr||Hannemann|Matthias|Am Bahnhof Jungfernheide 333|51766|Engelskirchen||Hannemann@email.de|J|caspers-schreinerei@t-online.de
Hansen|Christina|10.04.2007|Eltern|Frau||Hansen|Julia|Herr||Hansen|Wolfgang|Katzenstieg 352|48565|Steinfurt||Hansen@email.de|J|
Hanssen|Marina|16.11.2004|Eltern|Frau||Hanssen|Ulrike|Herr||Hanssen|Heinz-Bernd|Erpetal 81|40227|Düsseldorf||Hanssen@email.de|J|
Harmens|Christin|19.04.2010|Eltern|Frau||Harmens|Naema|Herr||Harmens|Mohammed|Turmallee	 220|40477|Düsseldorf||Harmens@email.de|J|mialrifai1974@gmail.com
Hase|Anne|22.07.2010|Eltern|Frau||Hase|Sandra|Herr||Hase|Mario|Schwarzer Weg 26|51143|Köln||Hase@email.de|J|mariopiec@gmail.com
Hatzfeld|Christin|09.08.2004|Eltern|Frau||Hatzfeld|Shkurte|Herr||Hatzfeld|Sami|Meisenheimer Straße 351|51105|Köln||Hatzfeld@email.de|J|
Hau|Thorsten|23.11.2003|Eltern|Frau||Hau|Zehra|Herr||Hau|Cengiz|Fürstenbrunner Weg 175|48366|Laer||Hau@email.de|J|
Hauptmann|Torsten|08.01.2006|Eltern|Frau||Hauptmann|Magdalena|Herr||Hauptmann|Jaroslaw|Stillerzeile 489|52146|Würselen||Hauptmann@email.de|J|
Hauth|Diana|01.07.2009|Eltern|Frau||Hauth|Nicole|Herr||Hauth|Markus|Schillerstraße 464|52379|Langerwehe||Hauth@email.de|J|tillmannmarkus1@t-online.de
Havel|Marco|20.06.2009|Eltern|Frau||Havel|Tatjana|Herr||Havel|Valentin|Schloßplatz 344|50937|Köln||Havel@email.de|J|valentinjahner21@gmail.com
Haykes|Tobias|25.08.2003|Schüler ist volljährig|Herr||Haykes|Tobias|||||Clausewitzstraße 296|33442|Herzebrock-Clarholz|||J|
Haykes|Tobias|25.08.2003|Eltern|Frau||Haykes|Stefanie|Herr||Haykes|Philipp|Clausewitzstraße 296|33442|Herzebrock-Clarholz||Haykes@email.de|J|philippdiesner@gmail.com
Heimge|Ulrike|23.11.2007|Eltern|Frau||Heimge|Bettina|Herr||Heimge|Alexander|Schiffbauerdamm 393|42109|Wuppertal||Heimge@email.de|J|agruen75@gmail.com
Heinrich|Claudia|08.05.2004|Eltern|Frau||Heinrich|Gülen|Herr||Heinrich|Hüseyin|Schießgasse 201|45894|Gelsenkirchen||Heinrich@email.de|J|
Hellwagen|Claudia|12.08.2006|Eltern|Frau||Hellwagen|Naema|Herr||Hellwagen|Mohammed|Pritstabelstraße 251|42477|Radevormwald||Hellwagen@email.de|J|
Hengst|Martina|06.09.2007|Eltern|Frau||Hengst|Kathrin |Herr||Hengst|Tim|Springeberger Weg 91|47199|Duisburg||Hengst@email.de|J|
Henning|Dominik|28.03.2008|Mutter|Frau||Henning|Dorothea|||||Klosterstraße 246|48157|Münster||Henning@email.de|J|
Henning|Dominik|28.03.2008|Vater|Herr||Henning|Frank|||||Klosterstraße 246|48157|Münster||Henning@email.de|J|
Hennings|Max|26.02.2008|Eltern|Frau||Hennings|Yvonne|Herr||Hennings|Christoph|Graditzer Allee 257|47447|Moers||Hennings@email.de|J|
Hensel|Kevin|12.02.2010|Eltern|Frau||Hensel|Daniela|Herr||Hensel|Christopher|Alter Tegeler Weg 306|32689|Kalletal||Hensel@email.de|J|chris.wolframm@gmx.de
Hensen|Christian|30.03.2007|Eltern|Frau||Hensen|Serpil|Herr||Hensen|Ahmed|Siemensstraße 366|59069|Hamm||Hensen@email.de|J|
Hepner|Barbara|16.06.2009|Eltern|Frau||Hepner|Christina|Herr||Hepner|Martin|Laufgasse 77|42929|Wermelskirchen||Hepner@email.de|J|martinrauhaus@gmail.com
Hesse|Klaus|18.11.2008|Eltern|Frau||Hesse|Antje|Herr||Hesse|Stefan|Schillerplatz 371|51147|Köln||Hesse@email.de|J|
Heße|Christin|26.01.2009|Eltern|Frau||Heße|Wibke|Herr||Heße|Nils|Emrichstraße 155|48356|Nordwalde||Heße@email.de|J|nilslammert@gmail.com
Hesse|Jessika|19.05.2010|Eltern|Frau||Hesse|Susanne|Herr||Hesse|Reinhard|Elcknerplatz 489|44623|Herne||Hesse@email.de|J|
Hessenius|Lukas|26.02.2008|Mutter|Frau||Hessenius|Graziella|||||Schröderdamm 199|58339|Breckerfeld||Hessenius@email.de|J|
Hessenius|Lukas|26.02.2008|Vater|||Hessenius|Antonino|||||Schröderdamm 199|58339|Breckerfeld||Hessenius@email.de|J|
Heßke|Max|14.02.2010|Eltern|Frau||Heßke|Katarzyna|Herr||Heßke|Jozef|Müggellandstraße 183|40789|Monheim||Heßke@email.de|J|j.lisson@web.de
Hettig|Jana|31.05.2006|Eltern|Frau||Hettig|Jennifer|Herr||Hettig|Peter|Müggelheimer Straße 176|57439|Attendorn||Hettig@email.de|J|p.jannusch@web.de
Hettig|Ines|15.04.2007|Eltern|Frau||Hettig|Bushra|Herr||Hettig|Abdulrahman|Am Spielplatz 21|58849|Herscheid||Hettig@email.de|J|
Heuel|Michael|15.08.2006|Eltern|Frau||Heuel|Severine|Herr||Heuel|Frank|Siropsgasse 206|40627|Düsseldorf||Heuel@email.de|J|
Heydemann|Jürgen|14.07.2006|Eltern|Frau||Heydemann|Cidem|Herr||Heydemann|Sebahattin|Kirchplatz 462|41179|Mönchengladbach||Heydemann@email.de|J|
Hickman|Benjamin|28.08.2006|Eltern|Frau||Hickman|Brigitte|Herr||Hickman|Markus|Galvanistraße 436|40468|Düsseldorf||Hickman@email.de|J|
Hilbers|Antje|05.06.2009|Eltern|Frau||Hilbers|Hasnan|Herr||Hilbers|Abdullah|Schmale Straße 131|45134|Essen||Hilbers@email.de|J|
Hill|Jens|04.06.2010|Mutter|Frau||Hill|Ebru|||||Rialtoring 195|52062|Aachen||Hill@email.de|J|
Hill|Jens|04.06.2010|Vater|Herr||Hill|Özgür|||||Rialtoring 195|52062|Aachen||Hill@email.de|J|
Himmelstützer|Karolin|14.08.2008|Eltern|Frau||Himmelstützer|Milena|Herr||Himmelstützer|Tamirlan|Baderseestraße 426|50996|Köln||Himmelstützer@email.de|J|
Himmelstützer|Tanja|30.03.2010|Mutter|Frau||Himmelstützer|Samantha|||||Kleine Frankfurter Straße 196|58739|Wickede||Himmelstützer@email.de|J|
Hintz|Maria|01.10.2006|Eltern|Frau||Hintz|Gülsün|Herr||Hintz|Mehmet|Am Seddinsee 253|53925|Kall||Hintz@email.de|J|Mehmet76@gmx.net
Hintze|Simone|04.03.2008|Eltern|Frau||Hintze|Ricarda|Herr||Hintze|Markus|Stahnweg 256|52388|Nörvenich||Hintze@email.de|J|
Hoffham|Gabriele|02.04.2004|Ansprechpartner|Frau||Hoffham|Wibke|Herr||Hoffham|Nils-Oliver|Am Generalshof 357|52152|Simmerath||Hoffham@email.de|J|
Hoffmann|Tobias|26.02.2004|Eltern|Frau||Hoffmann|Martina|Herr||Hoffmann|Ralf|Schwarzer Weg 238|57234|Wilnsdorf||Hoffmann@email.de|J|
Hofmann|Dirk|23.11.2004|Großeltern|Frau||Hofmann|Esther|Herr||Hofmann|Thomas|Raumbacher Straße 245|32832|Augustdorf||Hofmann@email.de|J|
Hogen|Laura|22.09.2003|Schülerin ist volljährig|Frau||Hogen|Laura|||||Neuer Weg 179|48145|Münster|||J|
Hogen|Laura|22.09.2003|Mutter|Frau||Hogen|Verena|||||Neuer Weg 179|48145|Münster||Hogen@email.de|J|
Hogen|Laura|22.09.2003|Vater|Herr||Hogen|Jens|||||Neuer Weg 179|48145|Münster||Hogen@email.de|J|
Hohemann|Jörg|02.06.2008|Eltern|Frau||Hohemann|Ute|Herr||Hohemann|Octave Marcel|Kleine Straße 45|44649|Herne||Hohemann@email.de|J|marcel@feijt.de
Hönighaus|Ralf|02.07.2007|Eltern|Frau||Hönighaus|Hicran|Herr||Hönighaus|Cetin|Lennéstraße 204|33739|Bielefeld||Hönighaus@email.de|J|
Horlacher|Jana|25.01.2004|Eltern|Frau||Horlacher|Antonietta|Herr||Horlacher|Antonio|Minkwitzweg 228|50825|Köln||Horlacher@email.de|J|
Horstmann|Jonas|13.07.2006|Eltern|Frau||Horstmann|Christina|Herr||Horstmann|Sebastian|Pablo-Neruda-Straße 21|52441|Linnich||Horstmann@email.de|J|
Hövel|Lukas|29.12.2009|Eltern|Frau||Hövel|Teuta|Herr||Hövel|Agim|Eichenallee 364|58840|Plettenberg||Hövel@email.de|J|
Hubbell|Ursula|24.10.2010|Eltern|Frau||Hubbell|Carola|Herr||Hubbell|Jens|Müggelheimer Landstraße 111|45133|Essen||Hubbell@email.de|J|j.hoerentrup@freenet.de
Huber|Bernd|15.12.2006|Eltern|Frau||Huber|Güldane|Herr||Huber|Johann Karl|Schäferstraße 308|33739|Bielefeld||Huber@email.de|J|
Huiß|Ines|23.12.2009|Mutter|Frau||Huiß|Miriam|||||Mariannensteig 108|44627|Herne||Huiß@email.de|J|
Huiß|Ines|23.12.2009|Vater|Herr||Huiß|Maik|||||Mariannensteig 108|44627|Herne||Huiß@email.de|J|
Hummen|Stefanie|24.04.2007|Eltern|Frau||Hummen|Ilka|Herr||Hummen|Dirk|Rathenaustraße 257|46395|Bocholt||Hummen@email.de|J|
Hummen|Annett|05.02.2010|Eltern|Frau||Hummen|Larissa|Herr||Hummen|Mirko|Am Glockenturm 42|45219|Essen||Hummen@email.de|J|
Hunold|Stefanie|09.04.2008|Mutter|Frau||Hunold|Diana|||||Nalepastraße 326|44866|Bochum||Hunold@email.de|J|
Hunold|Stefanie|09.04.2008|Vater|Herr||Hunold|Helmut|||||Nalepastraße 326|44866|Bochum||Hunold@email.de|J|
Ihlenfeld|Ulrike|05.08.2007|Mutter|Frau||Ihlenfeld|Nadine|||||Falkenberger Allee 91|59394|Nordkirchen||Ihlenfeld@email.de|J|
Ihlenfeld|Ulrike|05.08.2007|Vater|Herr||Ihlenfeld|Elmar|||||Falkenberger Allee 91|59394|Nordkirchen||Ihlenfeld@email.de|J|
Ihlenfeld|Ulrike|05.08.2007|Lebensgefährtin Mutter|Frau||Ihlenfeld|Kerstin|||||Falkenberger Allee 91|59394|Nordkirchen||Ihlenfeld@email.de|J|
Ingwers|Christine|12.07.2009|Eltern|Frau||Ingwers|Anna|Herr||Ingwers|Thomas|Klandersgasse 50|47447|Moers||Ingwers@email.de|J|
Ingwersen|Sophie|29.11.2004|Eltern|Frau||Ingwersen|Anita|Herr||Ingwersen|Zoran|Birkheidering 209|50181|Bedburg||Ingwersen@email.de|J|
Iversen|Marina|25.05.2008|Eltern|Frau||Iversen|Theodorudou|Herr||Iversen|Biniolas|Rinntaler Steig 266|50765|Köln||Iversen@email.de|J|
Jacob|Claudia|03.03.2009|Eltern|Frau||Jacob|Sevinc|Herr||Jacob|Yüksel|Danckelmannstraße 489|53121|Bonn||Jacob@email.de|J|Y.Kolcak@gmx.de
Jacobi|Klaudia|22.09.2004|Mutter|Frau||Jacobi|Selma|||||Schüßlerplatz 453|59556|Lippstadt||Jacobi@email.de|J|
Jacobi|Klaudia|22.09.2004|Vater|Herr||Jacobi|Rüdiger|||||Schüßlerplatz 453|59556|Lippstadt||Jacobi@email.de|J|
Jacobs|Annett|20.06.2010|Eltern|Frau||Jacobs|Daniela|Herr||Jacobs|Roland|Scharnweberstraße 82|48431|Rheine||Jacobs@email.de|J|rkleinschnittger@outlook.com
Janning|Ralf|18.06.2008|Eltern|Frau||Janning|Cigden|Herr||Janning|Ali|Cardinalstraße 332|47166|Duisburg||Janning@email.de|J|
Jebsen|Stephanie|06.08.2004|Eltern|Frau||Jebsen|Ayse|Herr||Jebsen|Bahadir|Alt-Lietzow 121|32683|Barntrup||Jebsen@email.de|J|
Jennings|Kristin|28.06.2004|Eltern|Frau||Jennings|Heike|Herr||Jennings|Jörg|Biesdorfer Weg 335|33428|Harsewinkel||Jennings@email.de|J|j.markus1@gmx.de
John|Brigitte|06.04.2008|Eltern|Frau||John|Nicole|Herr||John|Markus|Am Generalshof 71|45711|Datteln||John@email.de|J|
Jonas|Andreas|21.04.2002|Schüler ist volljährig|Herr||Jonas|Andreas|||||Köllnischer Wursthof 310|32429|Minden||Jonas@email.de|J|
Jonas|Andreas|21.04.2002|Eltern|Frau||Jonas|Susanne|Herr||Jonas|Eugen|Köllnischer Wursthof 310|32429|Minden||Jonas@email.de|J|
Jones|Klaudia|24.07.2002|Schülerin ist volljährig|Frau||Jones|Klaudia|||||Stahnweg 477|42489|Wülfrath||Jones@email.de|J|
Jones|Klaudia|24.07.2002|Eltern|Frau||Jones|Derya|Herr||Jones|Mehmet|Stahnweg 477|42489|Wülfrath||Jones@email.de|J|
Jung|Leon|12.10.2004|Eltern|Frau||Jung|Xhemaile|Herr||Jung|Guiseppe|Finkenschlag 306|40885|Ratingen||Jung@email.de|J|g.verdini@gmx.de
Jünger|Sarah|08.12.2004|Mutter|Frau||Jünger|Kerstin|||||Ottomar-Geschke-Straße 473|33189|Schlangen||Jünger@email.de|J|
Jünger|Sarah|08.12.2004|Vater|Herr||Jünger|Marcus|||||Ottomar-Geschke-Straße 473|33189|Schlangen||Jünger@email.de|J|
Jüpsien|Simone|30.06.2004|Eltern|Frau||Jüpsien|Yesire|Herr||Jüpsien|Murat|Fritschestraße 29|51588|Nümbrecht||Jüpsien@email.de|J|
Kallenberger|Brigitte|05.03.2005|Eltern|Frau||Kallenberger|Birgit|Herr||Kallenberger|Florian|Müggelwerderweg 8|58566|Kierspe||Kallenberger@email.de|J|
Kammerer|Lisa|09.10.2004|Eltern|Frau||Kammerer|Battoul|Herr||Kammerer|Salim|An der Krummen Lake 269|45886|Gelsenkirchen||Kammerer@email.de|J|
Kammerer|Tobias|13.04.2010|Mutter|Frau||Kammerer|Antje|||||Flemmingstraße 208|47798|Krefeld||Kammerer@email.de|J|
Kammerer|Tobias|13.04.2010|Vater|||Kammerer||||||Flemmingstraße 208|47798|Krefeld||Kammerer@email.de|J|
Kanich|Nadine|08.12.2007|Eltern|Frau||Kanich|Irina|Herr||Kanich|Frank|Angersteinweg 201|45478|Mülheim||Kanich@email.de|J|
Kanich|Kristin|17.09.2010|Eltern|Frau||Kanich|Gülseren|Herr||Kanich|Siyami|Eosanderstraße 454|58636|Iserlohn||Kanich@email.de|J|s.uenluetuerk@gmail.com
Kaufmann|Phillipp|27.03.2005|Eltern|Frau||Kaufmann|Anette|Herr||Kaufmann|Holger|Bummweg 124|44801|Bochum||Kaufmann@email.de|J|
Kemper|Sophia|29.09.2008|Eltern|Frau||Kemper|Friederike|Herr||Kemper|Jochen|Eppenbrunner Weg 394|40229|Düsseldorf||Kemper@email.de|J|
Kerckhoff|Markus|19.03.2008|Eltern|Frau||Kerckhoff|Havva|Herr||Kerckhoff|Özcan|Straße zum Müggelhort 426|42275|Wuppertal||Kerckhoff@email.de|J|
Kerckow|Maximilian|13.06.2009|Eltern|Frau||Kerckow|Yvonne|Herr||Kerckow|Frank|Am Graben 425|46149|Oberhausen||Kerckow@email.de|J|
Kerstiens|Stephan|07.02.2004|Eltern|Frau||Kerstiens|Melanie|Herr||Kerstiens|Velazquez|Marienstrasse 481|59425|Unna||Kerstiens@email.de|J|
Kiesling|Juliane|10.06.2008|Eltern|Frau||Kiesling|Nigar|Herr||Kiesling|Coskun|Schwarzer Weg 356|53225|Bonn||Kiesling@email.de|J|
Kimmerlin|Matthias|06.01.2006|Eltern|Frau||Kimmerlin|Ilona|Herr||Kimmerlin|Torsten|Peter-Gast-Weg 462|52072|Aachen||Kimmerlin@email.de|J|
Klaße|Anna|07.09.2007|Eltern|Frau||Klaße|Zubia|Herr||Klaße|Taswar|Nach dem französischen Kirchhof 453|45770|Marl||Klaße@email.de|J|
Klauser-Baumgartner|Doreen|28.04.2007|Eltern|Frau||Klauser-Baumgartner|Nicole|Herr||Klauser-Baumgartner|Andreas|Luckauer Straße 192|41063|Mönchengladbach||Klauser-Baumgartner@email.de|J|andreas.kuepper@yahoo.de
Klawitter|Dennis|25.06.2006|Eltern|Frau||Klawitter|Katja|Herr||Klawitter|Dennis|Stienitzseestraße 425|46147|Oberhausen||Klawitter@email.de|J|
Kleinert|Silke|22.04.2008|Eltern|Frau||Kleinert|Ulrike|Herr||Kleinert|Rainer|Buttenstedtweg 133|50129|Bergheim||Kleinert@email.de|J|
Kloos|Klaus|07.08.2007|Eltern|Frau||Kloos|Martina|Herr||Kloos|Gernot|Am Damm 136|45356|Essen||Kloos@email.de|J|
Knoch|Michael|29.12.2005|Eltern|Frau||Knoch|Jeanette|Herr||Knoch|Rüdiger|Koblankstraße 4|40235|Düsseldorf||Knoch@email.de|J|
Knottner|Peter|15.09.2002|Schüler ist volljährig|Herr||Knottner|Peter|||||Bummweg 274|50735|Köln||Knottner@email.de|J|
Knottner|Peter|15.09.2002|Eltern|Frau||Knottner|Justyna|Herr||Knottner|Lukasz|Bummweg 274|50735|Köln||Knottner@email.de|J|
Koch|Kathrin, Katrin|21.05.2010|Eltern|Frau||Koch|Yasemin|Herr||Koch|Gökhan|Ekhofplatz 305|48612|Horstmar||Koch@email.de|J|
Kock|Ute|11.11.2004|Eltern|Frau||Kock|Hafsa|Herr||Kock|Mohamed Ali|Böttcherstraße 417|51503|Rösrath||Kock@email.de|J|vanozee@gmail.com
Kohl|Susanne|17.10.2007|Eltern|Frau||Kohl|Carola|Herr||Kohl|Jens|Luxemburgplatz 285|33335|Gütersloh||Kohl@email.de|J|
Kohle|Janina|19.10.2007|Mutter|Frau||Kohle|Yasemin|||||An der Krummen Lake 189|51373|Leverkusen||Kohle@email.de|J|
Kohlmeierin|Uwe|03.06.2006|Eltern|Frau||Kohlmeierin|Tanja|Herr||Kohlmeierin|Dirk|Clausewitzstraße 32|33689|Bielefeld||Kohlmeierin@email.de|J|kradt008@t-online.de
Köhn|Jörg|07.02.2004|Mutter|Frau||Köhn|Ngoc Hang|||||Kleine Gasse 356|45144|Essen||Köhn@email.de|J|
Köhn|Jörg|07.02.2004|Stiefvater|Herr||Köhn|Martin|||||Kleine Gasse 356|45144|Essen||Köhn@email.de|J|
König|Laura|04.07.2010|Eltern|Frau||König|Maren|Herr||König|Helmut|Goerdelerdamm 467|46359|Heiden||König@email.de|J|helmut.frerichs@hpe.com
Korb|Laura|03.03.2009|Mutter|Frau||Korb|Rosalia|||||Chaussee nach Berlin 342|40667|Meerbusch||Korb@email.de|J|
Kordes|Stephanie|29.06.2006|Mutter|Frau||Kordes|Daniela|||||Siebergasse 368|51377|Leverkusen||Kordes@email.de|J|
Kordes|Stephanie|29.06.2006|Vater|Herr||Kordes|Frank|||||Siebergasse 368|51377|Leverkusen||Kordes@email.de|J|
Korth|Anja|16.07.2006|Eltern|Frau||Korth|Anne|Herr||Korth|Fritjof|Finkeldeweg 20|50354|Hürth||Korth@email.de|J|
Kortmann|Lea|08.05.2003|Schülerin ist volljährig|Frau||Kortmann|Lea|||||Elmsteiner Weg 11|50935|Köln|||J|
Kortmann|Lea|08.05.2003|Eltern|Frau||Kortmann|Bettina|Herr||Kortmann|Stephan|Elmsteiner Weg 11|50935|Köln||Kortmann@email.de|J|
Köster|Manuela|01.09.2007|Eltern|Frau||Köster|Hatice|Herr||Köster|Serdar|Alemannenallee 115|52222|Stolberg||Köster@email.de|J|serdartutar69@hotmail.com
Kotthof|Gabriele|03.03.2008|Eltern|Frau||Kotthof|Hatice|Herr||Kotthof|Zeki|Schöneicher Straße 184|58802|Balve||Kotthof@email.de|J|
Kräger|Leon|02.08.2010|Mutter|Frau||Kräger|Joana|||||Neanderstraße 108|57319|Bad Berleburg||Kräger@email.de|J|
Krahl|Klaudia|26.04.2006|Eltern|Frau||Krahl|Patricia|Herr||Krahl|Simon|Am Müggelsee 31|32549|Bad Oeynhausen||Krahl@email.de|J|simonnkossi@aol.com
Kraul|Doreen|23.06.2010|Eltern|Frau||Kraul|Kathrin|Herr||Kraul|Jens|Kronengasse 209|44892|Bochum||Kraul@email.de|J|jens.nebel@freenet.de
Kraus|Sandra|12.10.2003|Schülerin ist volljährig|Frau||Kraus|Sandra|||||Pollandt'sche Privatstraße 360|32479|Hille|||J|
Kraus|Sandra|12.10.2003|Eltern|Frau||Kraus|Justine|Herr||Kraus|Baldomero|Pollandt'sche Privatstraße 360|32479|Hille||Kraus@email.de|J|
Krawielitzki|Melanie|06.10.2006|Eltern|Frau||Krawielitzki|Anja-Sabine|Herr||Krawielitzki|Markus Andreas|Firlstraße 449|44379|Dortmund||Krawielitzki@email.de|J|
Krawielitzki|Kathrin, Katrin|28.09.2008|Eltern|Frau||Krawielitzki|Natalja|Herr||Krawielitzki|Iwan|Koblankstraße 125|52134|Herzogenrath||Krawielitzki@email.de|J|
Kroh|Anja|18.10.2004|Eltern|Frau||Kroh|Edina|Herr||Kroh|Mirsad|Erlenstraße 105|48565|Steinfurt||Kroh@email.de|J|
Kroh|Tom|14.07.2009|Eltern|Frau||Kroh|Bhargani|Herr||Kroh|Ashok Babu|Barbenweg 252|50668|Köln||Kroh@email.de|J|
Kroß|Christin|28.09.2009|Eltern|Frau||Kroß|Sabine|Herr||Kroß|Bernd|Münchweilersteig 461|47167|Duisburg||Kroß@email.de|J|mail@fausten.org
Krude|Lukas|20.02.2006|Eltern|Frau||Krude|Andrea|Herr||Krude|Uwe|Kommandantenstraße 46|44536|Lünen||Krude@email.de|J|
Kube|Jessika|23.11.2002|Schülerin ist volljährig|Frau||Kube|Jessika|||||Marienstraße 436|52152|Simmerath|||J|
Kube|Jessika|23.11.2002|Eltern|Frau||Kube|Ines|Herr||Kube|Stefan|Marienstraße 436|52152|Simmerath||Kube@email.de|J|
Kuglann|Klaudia|06.12.2004|Eltern|Frau||Kuglann|Nicole|Herr||Kuglann|Claus|Sternallee 9|40233|Düsseldorf||Kuglann@email.de|J|
