Nachname|Vorname|Geburtsdatum|Telefonnr.|Art
Frieling|Marina|24.04.2006|01234-517797|Handy Mutter
Frieling|Jana|06.05.2007|01234-602404|Dienststelle Mutter
Frieling|Marina|24.04.2006|01234-440449|Oma
Frieling|Marina|24.04.2006|01234-990111|Dienststelle Vater
Frieling|Jana|06.05.2007|01234-512288|Handy Mutter
Frieling|Marina|24.04.2006|01234-699376|Notfallnummer
Frieling|Jana|06.05.2007|01234-885202|Mutter
Frieling|Marina|24.04.2006|01234-700977|Festnetznummer
Fröhlich|Ines|29.09.2010|01234-155715|Dienststelle Mutter
Fröhlich|Ines|29.09.2010|01234-458011|Handy Mutter
Fröhlich|Ines|29.09.2010|01234-787502|Handy Vater
Gabel|Juliane|24.10.2006|01234-314952|Mutter
Gabel|Marina|23.05.2006|01234-725366|Handy Vater
Gabel|Lukas|23.02.2007|01234-340146|Großeltern
Gabel|Lukas|23.02.2007|01234-491231|Handy Vater
Gabel|Marina|23.05.2006|01234-486451|Handy Mutter
Gabel|Lukas|23.02.2007|01234-695159|Handy Mutter
Gabel|Juliane|24.10.2006|01234-771665|Handy Mutter
Gabel|Lukas|23.02.2007|01234-952858|Eltern
Gabel|Juliane|24.10.2006|01234-676565|Dienststelle Mutter
Gabel|Marina|23.05.2006|01234-225140|Eltern
Gabel|Marina|23.05.2006|01234-990569|Dienststelle Vater
Gabriels|Steffen|15.04.2008|01234-745066|Dienststelle Mutter
Gabriels|Steffen|15.04.2008|01234-258331|Eltern
Gabriels|Steffen|15.04.2008|01234-517359|Handy Mutter
Gabriels|Steffen|15.04.2008|01234-448582|Handy Vater
Gabriels|Steffen|15.04.2008|01234-919496|Dienststelle Vater
Garrelts|Katharina|28.07.2008|01234-189374|Dienststelle Mutter
Garrelts|Katharina|28.07.2008|01234-803451|Handy Mutter
Garrelts|Katharina|28.07.2008|01234-321606|Dienststelle Vater
Garrelts|Katharina|28.07.2008|01234-438332|Dienststelle Mutter
Gauert|Christina|30.01.2007|01234-132513|Handy Mutter
Gebhard|Swen|30.03.2004|01234-736724|Handy Vater
Gehlen|Angelika|17.03.2006|01234-981619|Handy Mutter
Gehlen|Angelika|17.03.2006|01234-637018|Mutter
Gehlsen|Katja|10.12.2005|01234-579591|Großeltern
Gehlsen|Katja|10.12.2005|01234-533727|Handy Vater
Gehlsen|Katja|10.12.2005|01234-229495|Eltern
Gehlsen|Katja|10.12.2005|01234-645428|Handy Mutter
Gehlsen|Katja|10.12.2005|01234-236951|Dienststelle Mutter
Geier|Karolin|06.03.2009|01234-835587|Eltern
Geier|Karolin|06.03.2009|01234-687991|Handy Mutter
Geier|Karolin|06.03.2009|01234-825244|Oma
Geier|Karolin|06.03.2009|01234-680266|Notfallnummer
Geier|Karolin|06.03.2009|01234-669982|Handy Vater
Geis|Anne|12.06.2005|01234-340097|Dienststelle Mutter
Geis|Anne|12.06.2005|01234-579643|Handy Vater
Geis|Anne|12.06.2005|01234-758053|Handy Mutter
Gelck|Tom|13.10.2009|01234-472384|Handy Großvater
Gelck|Tom|13.10.2009|01234-171684|Handy Vater
Gelck|Tom|13.10.2009|01234-807864|Großeltern
Gelck|Tom|13.10.2009|01234-622446|Tante
Gelck|Tom|13.10.2009|01234-918092|Handy Großmutter
Gelck|Tom|13.10.2009|01234-124028|Großeltern
Gelck|Tom|13.10.2009|01234-761359|Dienststelle Vater
Gelck|Tom|13.10.2009|01234-229150|Onkel
Gelck|Tom|13.10.2009|01234-549621|Handy Mutter
Gelck|Tom|13.10.2009|01234-898203|Handy Großvater
Geller|Claudia|17.03.2007|01234-106848|Großeltern
Geller|Claudia|17.03.2007|01234-887733|Vormund
Geller|Claudia|17.03.2007|01234-563831|Vormund
Geller|Claudia|17.03.2007|01234-828108|Dienststelle Vater
Geller|Claudia|17.03.2007|01234-259828|Dienststelle Mutter
Gellich|Kristin|10.07.2006|01234-411645|Dienststelle Mutter
Gellich|Kristin|10.07.2006|01234-286636|Handy Vater
Gellich|Kristin|10.07.2006|01234-244178|Dienststelle Vater
Gellich|Kristin|10.07.2006|01234-827564|Festnetznummer
Gellich|Kristin|10.07.2006|01234-819133|Handy Mutter
Genster|Laura|11.05.2004|01234-216214|Eltern
Genster|Laura|11.05.2004|01234-230037|Handy Mutter
Genster|Laura|11.05.2004|01234-759424|Dienststelle Vater
Genster|Laura|11.05.2004|01234-927268|Handy Vater
Gerhard|Annett|15.09.2004|01234-153559|Dienststelle Vater
Gerhard|Annett|15.09.2004|01234-979173|Dienststelle Mutter
Gerhard|Annett|15.09.2004|01234-750785|Handy Vater
Gerhard|Eric|10.02.2004|01234-918230|Eltern
Gerhard|Eric|10.02.2004|01234-692600|Handy Mutter
Gerhard|Eric|10.02.2004|01234-770145|Handy Vater
Gerhard|Eric|10.02.2004|01234-837342|Dienststelle Mutter
Gerhard|Annett|15.09.2004|01234-629481|Eltern
Gerhard|Eric|10.02.2004|01234-450710|Dienststelle Vater
Gerhard|Annett|15.09.2004|01234-211588|Handy Mutter
Gerok|Melanie|13.10.2006|01234-231753|Oma
Gerok|Melanie|13.10.2006|01234-738403|Oma
Gerok|Melanie|13.10.2006|01234-881939|Handy Stiefvater
Gerok|Melanie|13.10.2006|01234-564598|Dienststelle Mutter
Gerok|Melanie|13.10.2006|01234-679622|Handy Mutter
Gerok|Melanie|13.10.2006|01234-559266|Mutter
Gervaisot|Klaus|18.05.2004|01234-440548|Festnetznummer
Gervaisot|Klaus|18.05.2004|01234-612497|Handy Vater
Gervaisot|Klaus|18.05.2004|01234-121791|Handy Mutter
Gieben|David|06.01.2006|01234-620642|Handy Mutter
Gieben|David|06.01.2006|01234-712180|Festnetznummer
Gieben|David|06.01.2006|01234-550867|Handy Vater
Gieben|David|06.01.2006|01234-813754|Dienststelle Vater
Giessler|Klaus|02.04.2009|01234-916819|Handy Mutter
Giessler|Klaus|02.04.2009|01234-151541|Dienststelle Mutter
Giessler|Klaus|02.04.2009|01234-696689|Handy Vater
Giessler|Klaus|02.04.2009|01234-593490|Eltern
Gigel|Sophie|07.05.2008|01234-998692|Handy Stiefvater
Gigel|Sophie|07.05.2008|01234-392836|Mobilnummer
Gigel|Sophie|07.05.2008|01234-764401|Dienststelle Lebensgefährten
Gildemeister|Dominik|05.08.2003|01234-248637|Handy Vater
Gildemeister|Dominik|05.08.2003|01234-459497|Handy Mutter
Gildemeister|Dominik|05.08.2003|01234-294908|Festnetznummer
Giske|Anke|10.04.2004|01234-829956|Handy Mutter
Gockel|Anna|18.06.2006|01234-232570|Eltern
Gockel|Anna|18.06.2006|01234-793768|Handy Mutter
Gogol|Ines|10.12.2004|01234-390638|Großeltern
Gogol|Ines|10.12.2004|01234-544147|Handy Mutter
Gogol|Ines|10.12.2004|01234-866919|Mutter
Goltschmit|Andrea|14.08.2008|01234-750841|Oma
Goltschmit|Andrea|14.08.2008|01234-481109|Dienststelle Mutter
Goltschmit|Andrea|14.08.2008|01234-923545|Handy Vater
Goltschmit|Andrea|14.08.2008|01234-943244|Handy Mutter
Goltschmit|Andrea|14.08.2008|01234-444359|Eltern
Goltschmit|Andrea|14.08.2008|01234-430636|Tante
Goltschmit|Andrea|14.08.2008|01234-307626|Dienststelle Vater
Gramann|Christin|19.02.2005|01234-686351|Handy Mutter
Gramann|Christin|19.02.2005|01234-111047|Handy Vater
Gramann|Christin|19.02.2005|01234-895134|Eltern
Grant|Klaudia|22.11.2004|01234-763169|Eltern
Grant|Klaudia|22.11.2004|01234-641606|Handy Mutter
Grant|Klaudia|22.11.2004|01234-486423|Handy Vater
Gras|Ralf|18.01.2004|01234-286323|Handy Vater
Grebe|Nadine|11.09.2010|01234-886122|Handy Vater
Grebe|Nadine|11.09.2010|01234-272428|Handy Mutter
Grewe|Sarah|06.05.2010|01234-592620|Notfallnummer
Grewe|Sarah|06.05.2010|01234-820053|Handy Mutter
Grewe|Sarah|06.05.2010|01234-338965|Notfallnummer
Grewe|Sarah|06.05.2010|01234-270077|Notfallnummer
Grewe|Sarah|06.05.2010|01234-510300|Dienststelle Mutter
Gröper|Manuela|30.08.2007|01234-102074|Dienststelle Vater
Gröper|Manuela|30.08.2007|01234-893926|Handy Großmutter
Gröper|Manuela|30.08.2007|01234-781113|Dienststelle Mutter
Gröper|Manuela|30.08.2007|01234-805359|Handy Vater
Gröper|Manuela|30.08.2007|01234-500927|Eltern
Gröper|Manuela|30.08.2007|01234-589888|Handy Mutter
Grosse-Hündfeld|Dominik|21.10.2005|01234-510510|Dienststelle Vater
Grosse-Hündfeld|Dominik|21.10.2005|01234-147561|Handy Mutter
Grosse-Hündfeld|Dominik|21.10.2005|01234-636534|Eltern
Große-Vorspoel|Klaus|31.12.2006|01234-545729|Dienststelle Mutter
Große-Vorspoel|Klaus|31.12.2006|01234-997622|Dienststelle Vater
Große-Vorspoel|Klaus|31.12.2006|01234-826432|Eltern
Große-Vorspoel|Klaus|31.12.2006|01234-235052|Handy Mutter
Große-Vorspoel|Klaus|31.12.2006|01234-172949|Handy Vater
Grötschel|Martin|08.02.2007|01234-988423|Dienststelle Vater
Grötschel|Martin|08.02.2007|01234-671948|Dienststelle Mutter
Grötschel|Martin|08.02.2007|01234-740407|Handy Vater
Grötschel|Martin|08.02.2007|01234-124708|Handy Mutter
Grötschel|Martin|08.02.2007|01234-250340|Eltern
Grünewald|Klaudia|27.06.2007|01234-267136|Handy Vater
Grünewald|Klaudia|27.06.2007|01234-212347|Handy Mutter
Grünewald|Klaudia|27.06.2007|01234-228767|Eltern
Grünewald|Klaudia|27.06.2007|01234-808995|Tante
Grünewald|Klaudia|27.06.2007|01234-605832|Bruder
Grünewald|Klaudia|27.06.2007|01234-278300|Tante
Grünholz|Christian|04.12.2008|01234-224455|Handy Vater
Grünholz|Christian|04.12.2008|01234-557442|Handy Mutter
Grünholz|Christian|04.12.2008|01234-232005|Großeltern
Grünholz|Christian|04.12.2008|01234-552636|Eltern
Gulich|Katja|18.03.2003|01234-119518|Handy Vater
Gulich|Katja|18.03.2003|01234-112949|Eltern
Gulich|Katja|18.03.2003|01234-829597|Handy Mutter
Gülpen|Ralph|29.03.2010|01234-191665|Handy Vater
Gülpen|Ralph|29.03.2010|01234-997109|Handy Mutter
Gülpen|Ralph|29.03.2010|01234-772879|Festnetznummer
Gumpert|Antje|20.02.2003|01234-150434|Festnetznummer
Gumpert|Antje|20.02.2003|01234-299651|Flüchtilingshilfe
Gumpert|Antje|20.02.2003|01234-787604|Mobilnummer
Gumpert|Antje|20.02.2003|01234-644950|Familienhelferin
Günst|Benjamin|15.05.2003|01234-913900|Handy Vater
Günst|Benjamin|15.05.2003|01234-633829|Handy Mutter
Günst|Benjamin|15.05.2003|01234-240761|Eltern
Haardt|Ute|09.02.2007|01234-217031|Eltern
Haardt|Ute|09.02.2007|01234-610724|Handy Mutter
Haardt|Ute|09.02.2007|01234-493436|Handy Vater
Haardt|Ute|09.02.2007|01234-227455|Dienststelle Mutter
Haardt|Ute|09.02.2007|01234-471085|Dienststelle Vater
Haaren|Stefanie|11.08.2008|01234-501294|Eltern
Haaren|Stefanie|11.08.2008|01234-468719|Handy Mutter
Haaren|Stefanie|11.08.2008|01234-254444|Handy Vater
Haaren|Stefanie|11.08.2008|01234-975903|Dienststelle Vater
Hackewitz|Dieter|27.12.2003|01234-304388|Dienststelle Mutter
Hackewitz|Dieter|27.12.2003|01234-988481|Mutter
Hannemann|Kristian|03.05.2009|01234-896979|Handy Mutter
Hannemann|Kristian|03.05.2009|01234-205883|Handy Vater
Hannemann|Kristian|03.05.2009|01234-992475|Großeltern
Hannemann|Kristian|03.05.2009|01234-785810|Eltern
Hansen|Christina|10.04.2007|01234-989379|Handy Vater
Hansen|Christina|10.04.2007|01234-994859|Handy Mutter
Hansen|Christina|10.04.2007|01234-639550|Eltern
Hansen|Christina|10.04.2007|01234-171413|Dienststelle Vater
Hanssen|Marina|16.11.2004|01234-980696|Handy Vater
Hanssen|Marina|16.11.2004|01234-108529|Handy Mutter
Hanssen|Marina|16.11.2004|01234-591427|Festnetznummer
Harmens|Christin|19.04.2010|01234-893080|Handy Mutter
Harmens|Christin|19.04.2010|01234-839881|Eltern
Harmens|Christin|19.04.2010|01234-158725|Dienststelle Mutter
Harmens|Christin|19.04.2010|01234-235214|Handy Vater
Hase|Anne|22.07.2010|01234-120728|Großeltern
Hase|Anne|22.07.2010|01234-802369|Handy Vater
Hase|Anne|22.07.2010|01234-190922|Dienststelle Vater
Hase|Anne|22.07.2010|01234-839688|Eltern
Hase|Anne|22.07.2010|01234-273716|Großeltern
Hase|Anne|22.07.2010|01234-749417|Handy Mutter
Hatzfeld|Christin|09.08.2004|01234-144971|Handy Mutter
Hatzfeld|Christin|09.08.2004|01234-755626|Eltern
Hau|Thorsten|23.11.2003|01234-475035|Eltern
Hau|Thorsten|23.11.2003|01234-282892|Handy Vater
Hau|Thorsten|23.11.2003|01234-852376|Handy Mutter
Hauptmann|Torsten|08.01.2006|01234-118470|Handy Vater
Hauptmann|Torsten|08.01.2006|01234-949361|Notfallnummer
Hauth|Diana|01.07.2009|01234-242480|Eltern
Hauth|Diana|01.07.2009|01234-988084|Dienststelle Vater
Hauth|Diana|01.07.2009|01234-261484|Dienststelle Mutter
Hauth|Diana|01.07.2009|01234-567886|Großeltern
Hauth|Diana|01.07.2009|01234-484447|Handy Vater
Hauth|Diana|01.07.2009|01234-976802|Handy Mutter
Havel|Marco|20.06.2009|01234-454649|Handy Mutter
Havel|Marco|20.06.2009|01234-690908|Handy Vater
Havel|Marco|20.06.2009|01234-113893|Notfallnummer
Haykes|Tobias|25.08.2003|01234-829433|Dienststelle Vater
Haykes|Tobias|25.08.2003|01234-297338|Handy Mutter
Haykes|Tobias|25.08.2003|01234-480740|Handy Vater
Heimge|Ulrike|23.11.2007|01234-732621|Dienststelle Vater
Heimge|Ulrike|23.11.2007|01234-349677|Dienststelle Mutter
Heimge|Ulrike|23.11.2007|01234-675977|Handy Vater
Heimge|Ulrike|23.11.2007|01234-578456|Handy Mutter
Heimge|Ulrike|23.11.2007|01234-647806|Eltern
Heimge|Ulrike|23.11.2007|01234-768610|Handy Großmutter
Heimge|Ulrike|23.11.2007|01234-224448|Handy Großmutter
Heinrich|Claudia|08.05.2004|01234-111814|Eltern
Heinrich|Claudia|08.05.2004|01234-867085|Dienststelle Vater
Heinrich|Claudia|08.05.2004|01234-789376|Handy Vater
Heinrich|Claudia|08.05.2004|01234-648021|Handy Mutter
Hellwagen|Claudia|12.08.2006|01234-859432|Mobilnummer
Hengst|Martina|06.09.2007|01234-711856|Handy Vater
Hengst|Martina|06.09.2007|01234-693815|Oma
Hengst|Martina|06.09.2007|01234-485989|Eltern
Hengst|Martina|06.09.2007|01234-461762|Handy Mutter
Hengst|Martina|06.09.2007|01234-370763|Dienststelle Mutter
Henning|Dominik|28.03.2008|01234-952012|Mutter
Henning|Dominik|28.03.2008|01234-228488|Handy Mutter
Hennings|Max|26.02.2008|01234-806609|Notfallnummer
Hennings|Max|26.02.2008|01234-783239|Handy Vater
Hennings|Max|26.02.2008|01234-581593|Handy Mutter
Hennings|Max|26.02.2008|01234-911008|Eltern
Hensel|Kevin|12.02.2010|01234-852678|Dienststelle Vater
Hensel|Kevin|12.02.2010|01234-380970|Eltern
Hensel|Kevin|12.02.2010|01234-664258|Dienststelle Mutter
Hensel|Kevin|12.02.2010|01234-224718|Handy Mutter
Hensel|Kevin|12.02.2010|01234-367546|Großeltern
Hensel|Kevin|12.02.2010|01234-995984|Notfallnummer
Hensel|Kevin|12.02.2010|01234-691363|Handy Vater
Hensen|Christian|30.03.2007|01234-317264|Handy Mutter
Hepner|Barbara|16.06.2009|01234-443619|Schwester
Hepner|Barbara|16.06.2009|01234-112193|Dienststelle Mutter
Hepner|Barbara|16.06.2009|01234-812938|Handy Vater
Hepner|Barbara|16.06.2009|01234-979196|Eltern
Hepner|Barbara|16.06.2009|01234-533438|Handy Mutter
Hesse|Klaus|18.11.2008|01234-182833|Eltern
Hesse|Klaus|18.11.2008|01234-201690|Handy Vater
Hesse|Klaus|18.11.2008|01234-200106|Dienststelle Vater
Hesse|Klaus|18.11.2008|01234-898501|Handy Großeltern
Hesse|Klaus|18.11.2008|01234-957611|Handy Mutter
Hesse|Klaus|18.11.2008|01234-569234|Großeltern
Heße|Christin|26.01.2009|01234-959088|Eltern
Heße|Christin|26.01.2009|01234-248161|Handy Mutter
Heße|Christin|26.01.2009|01234-108409|Handy Vater
Hesse|Klaus|18.11.2008|01234-209932|Dienststelle Mutter
Hesse|Jessika|19.05.2010|01234-823985|Eltern
Hesse|Jessika|19.05.2010|01234-315139|Handy Mutter
Hesse|Jessika|19.05.2010|01234-504561|Oma
Hesse|Jessika|19.05.2010|01234-932165|Handy Vater
Hesse|Jessika|19.05.2010|01234-221545|Dienststelle Mutter
Hessenius|Lukas|26.02.2008|01234-252339|Oma
Hessenius|Lukas|26.02.2008|01234-243342|Dienststelle Mutter
Hessenius|Lukas|26.02.2008|01234-245976|Handy Vater
Hessenius|Lukas|26.02.2008|01234-505392|Handy Mutter
Hessenius|Lukas|26.02.2008|01234-309654|Eltern
Heßke|Max|14.02.2010|01234-208807|Dienststelle Vater
Heßke|Max|14.02.2010|01234-356390|Festnetznummer
Heßke|Max|14.02.2010|01234-288052|Handy Mutter
Heßke|Max|14.02.2010|01234-997446|Handy Vater
Hettig|Jana|31.05.2006|01234-589720|Eltern
Hettig|Jana|31.05.2006|01234-137163|Handy Vater
Hettig|Jana|31.05.2006|01234-727871|Oma
Hettig|Ines|15.04.2007|01234-319528|Notfallnummer
Hettig|Jana|31.05.2006|01234-448946|Handy Mutter
Heuel|Michael|15.08.2006|01234-368224|Handy Vater
Heuel|Michael|15.08.2006|01234-773893|Handy Mutter
Heuel|Michael|15.08.2006|01234-586302|Festnetznummer
Heydemann|Jürgen|14.07.2006|01234-780887|Festnetznummer
Heydemann|Jürgen|14.07.2006|01234-493928|Handy Vater
Heydemann|Jürgen|14.07.2006|01234-702780|Handy Mutter
Hickman|Benjamin|28.08.2006|01234-404656|Eltern
Hickman|Benjamin|28.08.2006|01234-914715|Handy Vater
Hickman|Benjamin|28.08.2006|01234-719630|Dienststelle Mutter
Hickman|Benjamin|28.08.2006|01234-551509|Handy Mutter
Hilbers|Antje|05.06.2009|01234-492399|Bruder
Hill|Jens|04.06.2010|01234-990948|Handy Mutter
Hill|Jens|04.06.2010|01234-564867|Tante
Hill|Jens|04.06.2010|01234-961730|Handy Vater
Himmelstützer|Karolin|14.08.2008|01234-550024|Handy Mutter
Himmelstützer|Tanja|30.03.2010|01234-487347|Handy Mutter
Himmelstützer|Karolin|14.08.2008|01234-162740|Handy Vater
Hintz|Maria|01.10.2006|01234-601969|Handy Vater
Hintz|Maria|01.10.2006|01234-526810|Dienststelle Mutter
Hintz|Maria|01.10.2006|01234-114094|Handy Mutter
Hintz|Maria|01.10.2006|01234-530044|Eltern
Hintze|Simone|04.03.2008|01234-715557|Handy Vater
Hintze|Simone|04.03.2008|01234-669270|Dienststelle Mutter
Hintze|Simone|04.03.2008|01234-470219|Bruder
Hintze|Simone|04.03.2008|01234-151340|Eltern
Hintze|Simone|04.03.2008|01234-386773|Handy Mutter
Hoffham|Gabriele|02.04.2004|01234-270314|Handy Vater
Hoffham|Gabriele|02.04.2004|01234-945658|Handy Mutter
Hoffham|Gabriele|02.04.2004|01234-773323|Eltern
Hoffmann|Tobias|26.02.2004|01234-654975|Eltern
Hoffmann|Tobias|26.02.2004|01234-710017|Handy Mutter
Hoffmann|Tobias|26.02.2004|01234-827998|Handy Vater
Hoffmann|Tobias|26.02.2004|01234-341938|Dienststelle Mutter
Hofmann|Dirk|23.11.2004|01234-878356|Eltern
Hofmann|Dirk|23.11.2004|01234-466111|Handy Mutter
Hofmann|Dirk|23.11.2004|01234-673686|Handy Vater
Hofmann|Dirk|23.11.2004|01234-592911|Dienststelle Vater
Hogen|Laura|22.09.2003|01234-273861|Handy Vater
Hogen|Laura|22.09.2003|01234-390906|Handy Mutter
Hohemann|Jörg|02.06.2008|01234-991070|Handy Vater
Hohemann|Jörg|02.06.2008|01234-743185|Vater
Hohemann|Jörg|02.06.2008|01234-579797|Mutter
Hönighaus|Ralf|02.07.2007|01234-989558|Eltern
Hönighaus|Ralf|02.07.2007|01234-554785|Dienststelle Mutter
Hönighaus|Ralf|02.07.2007|01234-924062|Handy Vater
Hönighaus|Ralf|02.07.2007|01234-459281|Oma
Hönighaus|Ralf|02.07.2007|01234-247264|Dienststelle Vater
Hönighaus|Ralf|02.07.2007|01234-144031|Handy Mutter
Horlacher|Jana|25.01.2004|01234-578705|Handy Mutter
Horlacher|Jana|25.01.2004|01234-188377|Festnetznummer
Horstmann|Jonas|13.07.2006|01234-916100|Handy Mutter
Horstmann|Jonas|13.07.2006|01234-128667|Eltern
Hövel|Lukas|29.12.2009|01234-277062|Handy Vater
Hövel|Lukas|29.12.2009|01234-522482|Handy Mutter
Hövel|Lukas|29.12.2009|01234-774387|Eltern
Hubbell|Ursula|24.10.2010|01234-294283|Eltern
Hubbell|Ursula|24.10.2010|01234-259280|Handy Mutter
Huber|Bernd|15.12.2006|01234-612729|Eltern
Huber|Bernd|15.12.2006|01234-191535|Handy Vater
Huber|Bernd|15.12.2006|01234-151578|Handy Mutter
Huiß|Ines|23.12.2009|01234-270866|Handy Mutter
Huiß|Ines|23.12.2009|01234-154677|Handy Großmutter
Huiß|Ines|23.12.2009|01234-132757|Handy Stiefvater
Huiß|Ines|23.12.2009|01234-425270|Handy Großvater
Hummen|Stefanie|24.04.2007|01234-896925|Festnetznummer
Hummen|Annett|05.02.2010|01234-984112|Handy Mutter
Hummen|Stefanie|24.04.2007|01234-715488|Handy Vater
Hummen|Annett|05.02.2010|01234-852716|Großeltern
Hummen|Annett|05.02.2010|01234-216249|Dienststelle Vater
Hummen|Annett|05.02.2010|01234-378529|Eltern
Hunold|Stefanie|09.04.2008|01234-515330|Handy Vater
Hunold|Stefanie|09.04.2008|01234-693389|Handy Mutter
Ihlenfeld|Ulrike|05.08.2007|01234-834352|Lebensgefährtin Mutter
Ihlenfeld|Ulrike|05.08.2007|01234-669709|Tante
Ihlenfeld|Ulrike|05.08.2007|01234-582103|Vater
Ihlenfeld|Ulrike|05.08.2007|01234-830527|Handy Vater
Ihlenfeld|Ulrike|05.08.2007|01234-528392|Handy Mutter
Ihlenfeld|Ulrike|05.08.2007|01234-985017|Mutter
Ihlenfeld|Ulrike|05.08.2007|01234-142341|Dienststelle Mutter
Ingwers|Christine|12.07.2009|01234-742928|Handy Vater
Ingwers|Christine|12.07.2009|01234-750364|Handy Mutter
Ingwers|Christine|12.07.2009|01234-801694|Eltern
Ingwersen|Sophie|29.11.2004|01234-177904|Eltern
Ingwersen|Sophie|29.11.2004|01234-782587|Dienststelle Vater
Ingwersen|Sophie|29.11.2004|01234-697943|Handy Vater
Ingwersen|Sophie|29.11.2004|01234-962595|Handy Mutter
Iversen|Marina|25.05.2008|01234-778451|Festnetznummer
Iversen|Marina|25.05.2008|01234-596306|Mobilnummer
Jacob|Claudia|03.03.2009|01234-937525|Dienststelle Vater
Jacob|Claudia|03.03.2009|01234-553461|Notfallnummer
Jacob|Claudia|03.03.2009|01234-713079|Notfallnummer
Jacob|Claudia|03.03.2009|01234-228683|Notfallnummer
Jacob|Claudia|03.03.2009|01234-249594|Handy Vater
Jacob|Claudia|03.03.2009|01234-927059|Eltern
Jacob|Claudia|03.03.2009|01234-172870|Handy Mutter
Jacobi|Klaudia|22.09.2004|01234-523209|Dienststelle Mutter
Jacobi|Klaudia|22.09.2004|01234-667632|Handy Mutter
Jacobi|Klaudia|22.09.2004|01234-604517|Festnetznummer
Jacobs|Annett|20.06.2010|01234-253290|Handy Mutter
Jacobs|Annett|20.06.2010|01234-860675|Eltern
Jacobs|Annett|20.06.2010|01234-966103|Notfallnummer
Jacobs|Annett|20.06.2010|01234-253340|Dienststelle Vater
Jacobs|Annett|20.06.2010|01234-934287|Handy Vater
Jacobs|Annett|20.06.2010|01234-478395|Notfallnummer
Janning|Ralf|18.06.2008|01234-238520|Eltern
Janning|Ralf|18.06.2008|01234-634070|Dienststelle Mutter
Janning|Ralf|18.06.2008|01234-150424|Handy Vater
Janning|Ralf|18.06.2008|01234-194515|Handy Mutter
Jebsen|Stephanie|06.08.2004|01234-137507|Eltern
Jebsen|Stephanie|06.08.2004|01234-740967|Handy Mutter
Jebsen|Stephanie|06.08.2004|01234-373290|Dienststelle Mutter
Jebsen|Stephanie|06.08.2004|01234-722070|Handy Vater
Jennings|Kristin|28.06.2004|01234-971484|Eltern
Jennings|Kristin|28.06.2004|01234-713577|Handy Mutter
John|Brigitte|06.04.2008|01234-560760|Handy Vater
John|Brigitte|06.04.2008|01234-173324|Dienststelle Mutter
John|Brigitte|06.04.2008|01234-249900|Eltern
John|Brigitte|06.04.2008|01234-169693|Handy Mutter
Jonas|Andreas|21.04.2002|01234-568678|Handy Mutter
Jonas|Andreas|21.04.2002|01234-126931|Eltern
Jones|Klaudia|24.07.2002|01234-863401|Handy Mutter
Jones|Klaudia|24.07.2002|01234-984501|Handy Vater
Jung|Leon|12.10.2004|01234-459047|Festnetznummer
Jung|Leon|12.10.2004|01234-842482|Handy Mutter
Jünger|Sarah|08.12.2004|01234-389320|Dienststelle Vater
Jünger|Sarah|08.12.2004|01234-455332|Handy Mutter
Jünger|Sarah|08.12.2004|01234-227301|Handy Vater
Jünger|Sarah|08.12.2004|01234-276271|Dienststelle Mutter
Jünger|Sarah|08.12.2004|01234-505322|Vater
Jüpsien|Simone|30.06.2004|01234-774921|Handy Vater
Jüpsien|Simone|30.06.2004|01234-788587|Eltern
Kallenberger|Brigitte|05.03.2005|01234-809784|Dienststelle Vater
Kallenberger|Brigitte|05.03.2005|01234-790467|Dienststelle Mutter
Kallenberger|Brigitte|05.03.2005|01234-140079|Handy Vater
Kallenberger|Brigitte|05.03.2005|01234-325339|Eltern
Kallenberger|Brigitte|05.03.2005|01234-935058|Handy Mutter
Kammerer|Tobias|13.04.2010|01234-431132|Handy Mutter
Kammerer|Tobias|13.04.2010|01234-211097|Vater
Kammerer|Tobias|13.04.2010|01234-478444|Notfallnummer
Kammerer|Tobias|13.04.2010|01234-329652|Dienststelle Vater
Kammerer|Lisa|09.10.2004|01234-594689|Handy Mutter
Kammerer|Tobias|13.04.2010|01234-676455|Dienststelle Mutter
Kanich|Kristin|17.09.2010|01234-881937|Handy Mutter
Kanich|Nadine|08.12.2007|01234-807373|Eltern
Kanich|Nadine|08.12.2007|01234-444226|Handy Mutter
Kanich|Nadine|08.12.2007|01234-635087|Handy Vater
Kanich|Nadine|08.12.2007|01234-882348|Dienststelle Mutter
Kanich|Nadine|08.12.2007|01234-743056|Notfallnummer
Kanich|Kristin|17.09.2010|01234-245532|Handy Vater
Kanich|Nadine|08.12.2007|01234-908379|Dienststelle Vater
Kanich|Nadine|08.12.2007|01234-536767|Notfallnummer
Kanich|Nadine|08.12.2007|01234-549617|Notfallnummer
Kanich|Nadine|08.12.2007|01234-987109|Notfallnummer
Kaufmann|Phillipp|27.03.2005|01234-857547|Handy Vater
Kaufmann|Phillipp|27.03.2005|01234-376917|Handy Mutter
Kaufmann|Phillipp|27.03.2005|01234-806469|Festnetznummer
Kaufmann|Phillipp|27.03.2005|01234-379572|Dienststelle Vater
Kemper|Sophia|29.09.2008|01234-229132|Dienststelle Vater
Kemper|Sophia|29.09.2008|01234-670208|Eltern
Kemper|Sophia|29.09.2008|01234-768619|Handy Mutter
Kemper|Sophia|29.09.2008|01234-956504|Dienststelle Mutter
Kerckhoff|Markus|19.03.2008|01234-213376|Handy Mutter
Kerckhoff|Markus|19.03.2008|01234-972334|Handy Vater
