Nachname|Vorname|Geburtsdatum|Namenszusatz|Geburtsname|Geburtsort|Ortsteil|Telefon-Nr.|E-Mail|2. Staatsang.|Externe ID-Nr|Sportbefreiung|Fahrschülerart|Haltestelle|Einschulungsart|Entlassdatum|Entlassjahrgang|Datum Schulwechsel|Bemerkungen|BKAZVO|BeginnBildungsgang|Anmeldedatum|Bafög|EP-Jahre|Fax/Mobilnr|Ausweisnummer|schulische E-Mail|Masern-Impfnachweis
Basch|Doreen|24.06.2009|||Bad Oeynhausen||01234-652850|D.Basch@smail.de|470|||||51||||||01.08.2015|20.02.2020|N|2|0189-926884||ecem.karagoez@neg-velbert.de|N
Bunnell|Jörg|09.05.2008|||Blomberg||01234-161017|J.Bunnell@smail.de||||||51|||||||23.02.2018|N|2|0189-441374||faris.taybi@neg-velbert.de|N
Burtonshall|Dieter|25.06.2008|||Steinheim||01234-404696|D.Burtonshall@smail.de||||||51|||||||22.02.2018|N|2|0189-830057||jannik.meder@neg-velbert.de|N
Düsterbeck|Thorsten|24.05.2008|||Iserlohn||01234-104963|T.Düsterbeck@smail.de||||||51|||||||22.02.2018|N|2|0189-110241||arda.uenluetuerk@neg-velbert.de|N
Freithoff|Vanessa|10.02.2008|||Halle||01234-411113|V.Freithoff@smail.de||||||51|||||||22.02.2018|N|2|0189-489366||elona.selmani@neg-velbert.de|N
Garrelts|Katharina|28.07.2008|||Hückeswagen||01234-271126|K.Garrelts@smail.de||||||51|||||||21.02.2018|N|2|0189-699383||benedetta.paciello@neg-velbert.de|N
Grötschel|Martin|08.02.2007|||Bergheim||01234-725138|M.Grötschel@smail.de||||||51|||||||01.03.2017|N|2|0189-164024||samed.yildiz@neg-velbert.de|N
Haaren|Stefanie|11.08.2008|||Attendorn||01234-579441|S.Haaren@smail.de||||||51|||||||21.02.2018|N|2|0189-240245||sophia.moor@neg-velbert.de|N
Hunold|Stefanie|09.04.2008|||Niederkrüchten||01234-711328|S.Hunold@smail.de||||||51|||||||22.02.2018|N|2|0189-886519||zoey.blawatt@neg-velbert.de|N
Janning|Ralf|18.06.2008|||Velbert||01234-406391|R.Janning@smail.de||||||51|||||||23.02.2018|N|2|0189-267946||diyar.ilkay@neg-velbert.de|N
John|Brigitte|06.04.2008|||Bad Lippspringe||01234-507344|B.John@smail.de||||||51|||||||23.02.2018|N|2|0189-431680||jette.ebeling@neg-velbert.de|N
Kanich|Nadine|08.12.2007|||Lennestadt||01234-661056|N.Kanich@smail.de||||||51|||||||23.02.2018|N|2|0189-582103||tessa.thiel@neg-velbert.de|N
Kerckhoff|Markus|19.03.2008|||Ahaus||01234-417885|M.Kerckhoff@smail.de||||||51|||||||23.02.2018|N|2|0189-116933||emirhan.aktas@neg-velbert.de|N
Kleinert|Silke|22.04.2008|||Verl||01234-851806|S.Kleinert@smail.de||||||51|||||||21.02.2018|N|2|0189-681639||antonia.poppenberg@neg-velbert.de|N
Kohle|Janina|19.10.2007|||Datteln||01234-524354|J.Kohle@smail.de||||||51|||||||23.02.2018|N|2|0189-567970||oeykuesu.aydin@neg-velbert.de|N
Lange|Ursula|31.10.2008|||Nordkirchen||01234-817973|U.Lange@smail.de||||||51|||||||22.02.2018|N|2|0189-423020||malene.schlueter@neg-velbert.de|N
Lins|Sabrina|22.04.2008|||Monschau||01234-984897|S.Lins@smail.de||||||52|||||||21.02.2018|N|2|0189-845446||nina.packhaeuser@neg-velbert.de|N
Macmillan|David|05.12.2008|||Krefeld||01234-393040|D.Macmillan@smail.de||||||51|||||||21.02.2018|N|2|0189-974536||samuel.saracino@neg-velbert.de|N
Menne|Jürgen|20.02.2008|||Lünen||01234-152799|J.Menne@smail.de||||||51|||||||22.02.2018|N|2|0189-232693||ben.goehre@neg-velbert.de|N
Menzel|Dennis|25.08.2008|||Velbert||01234-465822|D.Menzel@smail.de||||||51|||||||21.02.2018|N|2|0189-227712||ole.jochmann@neg-velbert.de|N
Molitor|Barbara|26.01.2009|||Merzenich||01234-379878|B.Molitor@smail.de||||||52|||||||21.02.2018|N|2|0189-160976||carlotta.martini@neg-velbert.de|N
Möllmann|David|01.10.2008|||Nordwalde||01234-901915|D.Möllmann@smail.de||||||51|||||||22.02.2018|N|2|0189-208619||til.laupenmuehlen@neg-velbert.de|N
Reichenstein|Jessika|02.11.2008|||Herford||01234-905066|J.Reichenstein@smail.de||||||51|||||||23.02.2018|N|2|0189-725115||ruth.scheffler@neg-velbert.de|N
Rutzky|Jörg|27.08.2008|||Hilchenbach||01234-139642|J.Rutzky@smail.de||||||51|||||||22.02.2018|N|2|0189-271042||joshua.bartsch@neg-velbert.de|N
Schmieden|Julia|06.06.2008|||Dortmund||01234-629183|J.Schmieden@smail.de||||||51|||||||22.02.2018|N|2|0189-532465||malina.schnabel@neg-velbert.de|N
Trapp|Sandra|03.09.2008|||Köln||01234-112201|S.Trapp@smail.de||||||51|||||||21.02.2018|N|2|0189-575235||emily.richter@neg-velbert.de|N
Ulrich|Claudia|17.09.2008|||Bonn||01234-329486|C.Ulrich@smail.de||||||51|||||||23.02.2018|N|2|0189-769330||lara.kolcak@neg-velbert.de|N
Vahlpagel|Uta|24.02.2009|||Oberhausen||01234-817907|U.Vahlpagel@smail.de||||||52|||||||21.02.2018|N|2|0189-553998||anike.nitsche@neg-velbert.de|N
Westphal|Torsten|04.06.2008|||Remscheid||01234-979241|T.Westphal@smail.de||||||51|||||||22.02.2018|N|2|0189-192515||anton.stroeter@neg-velbert.de|N
Addens|Benjamin|13.07.2008|||Brüggen||01234-972696|B.Addens@smail.de||||||51|||||||23.02.2018|N|2|0189-527734||jonas.faehling@neg-velbert.de|N
Berg|Laura|03.11.2007|||Düsseldorf||01234-697790|L.Berg@smail.de||||||51|||||||23.02.2018|N|2|0189-152784||johanna.kalman@neg-velbert.de|N
Berg|Jennifer|20.03.2008|||Castrop-Rauxel||01234-246997|J.Berg@smail.de||||||51|||||||23.02.2018|N|2|0189-354582||nicoleta.deligiannis@neg-velbert.de|N
Bergmann|Maria|18.10.2008|||Jüchen||01234-629571|M.Bergmann@smail.de||||||51|||||||21.02.2018|N|2|0189-384025||naya.guenther@neg-velbert.de|N
Bisson|Lena|29.06.2008|||Köln||01234-426923|L.Bisson@smail.de||||||51|||||||21.02.2018|N|2|0189-981205||mathilda.buckard@neg-velbert.de|N
Bödefeld|Thorsten|04.09.2008|||Wülfrath||01234-738981|T.Bödefeld@smail.de||||||51|||||||23.02.2018|N|2|0189-948701||mateo.ivancic@neg-velbert.de|N
Büttner|Kristian|15.05.2008|||Duisburg||01234-929122|K.Büttner@smail.de|134|||||51|||||||23.02.2018|N|2|0189-971684||trianta.tsompanoudis@neg-velbert.de|N
Colman|Sophie|13.10.2008|||Brilon||01234-111417|S.Colman@smail.de||||||51|||||||21.02.2018|N|2|0189-762603||isabel.klemp@neg-velbert.de|N
Gabriels|Steffen|15.04.2008|||Menden||01234-969387|S.Gabriels@smail.de|161|||||51|||||||23.02.2018|N|2|0189-383637||ruben.gomez@neg-velbert.de|N
Hesse|Klaus|18.11.2008|||Düsseldorf||01234-790006|K.Hesse@smail.de||||||52|||||||23.02.2018|N|2|0189-341998||philipp.wirtz@neg-velbert.de|N
Hessenius|Lukas|26.02.2008|||Solingen||01234-979886|L.Hessenius@smail.de|137|||||51|||||||22.02.2018|N|2|0189-772478||flavio.tranchida@neg-velbert.de|N
Himmelstützer|Karolin|14.08.2008|||Bocholt||01234-794877|K.Himmelstützer@smail.de||||||51|||||||21.02.2018|N|2|0189-521615||amina.bass@neg-velbert.de|N
Hintze|Simone|04.03.2008|||Münster||01234-558396|S.Hintze@smail.de||||||51|||||||21.02.2018|N|2|0189-197635||maja.hilgenberg@neg-velbert.de|N
Kiesling|Juliane|10.06.2008|||Schloß Holte-Stukenbrock||01234-536882|J.Kiesling@smail.de||||||51|||||||21.02.2018|N|2|0189-643598||ecem.yilmaz@neg-velbert.de|N
Krawielitzki|Kathrin, Katrin|28.09.2008|||Köln||01234-210677|K.Krawielitzki@smail.de||||||51|||||||23.02.2018|N|2|0189-184069||victoria.selenin@neg-velbert.de|N
Lassens|Angelika|03.09.2008|||Erkrath||01234-902608|A.Lassens@smail.de||||||51|||||||21.02.2018|N|2|0189-667830||julie.rapp@neg-velbert.de|N
Leve|Antje|28.07.2008|||Aachen||01234-944170|A.Leve@smail.de||||||51|||||||23.02.2018|N|2|0189-563350||lina.bittner@neg-velbert.de|N
Liedemet|Ulrike|11.09.2008|||Essen||01234-187144|U.Liedemet@smail.de|152|||||51|||||||21.02.2018|N|2|0189-244292||emilia.bednorz@neg-velbert.de|N
Lindemann|Martin|28.04.2008|||Ladbergen||01234-955887|M.Lindemann@smail.de||||||51|||||||22.02.2018|N|2|0189-997364||lennart.jannusch@neg-velbert.de|N
Loosch|Sven|09.06.2008|||Bochum||01234-801250|S.Loosch@smail.de||||||51|||||||12.07.2019|N|2|0189-864142||malte.schemken@neg-velbert.de|N
Mund|Tanja|01.05.2008|||Wesseling||01234-944805|T.Mund@smail.de||||||51|||||||23.02.2018|N|2|0189-995196||luna.guccione@neg-velbert.de|N
Nommsen|Christin|11.08.2008|||Bochum||01234-988304|C.Nommsen@smail.de||||||51|||||||21.02.2018|N|2|0189-279284||lana.dezarov@neg-velbert.de|N
Oliver|Katja|19.06.2008|||Arnsberg||01234-895124|K.Oliver@smail.de||||||51|||||||23.02.2018|N|2|0189-615349||lena.roensch@neg-velbert.de|N
Schwartz|Sabine|19.06.2008|||Ratingen||01234-846077|S.Schwartz@smail.de||||||51|||||||23.02.2018|N|2|0189-291428||aleyna.daldal@neg-velbert.de|N
Solterbeck|Klaus|07.09.2008|||Solingen||01234-668496|K.Solterbeck@smail.de||||||51|||||||23.02.2018|N|2|0189-809042||andrei.popescu@neg-velbert.de|N
Valentin|Maximilian|16.09.2008|||Dortmund||01234-962131|M.Valentin@smail.de||||||51|||||||22.02.2018|N|2|0189-406288||aaron.sandrock@neg-velbert.de|N
Wallmeyer|René|14.06.2008|||Wuppertal||01234-643518|R.Wallmeyer@smail.de||||||51|||||||23.02.2018|N|2|0189-487486||deniz.ksoll@neg-velbert.de|N
Abraham|Claudia|12.11.2007|||Gelsenkirchen||01234-413488|C.Abraham@smail.de||||||51|||||||23.02.2018|N|2|0189-343567||ela.atmaca@neg-velbert.de|N
Bertmars|Jessica|05.09.2008|||Berlin-Lichtenfelde||01234-558072|J.Bertmars@smail.de||||||51|||||||23.02.2018|N|2|0189-595679||lena.fitze@neg-velbert.de|N
Brinkmann|Vanessa|24.05.2008|||Westerkappeln||01234-502285|V.Brinkmann@smail.de||||||51|||||||23.02.2018|N|2|0189-473032||berfin.goergue@neg-velbert.de|N
Brockmann|Dirk|01.06.2008|||Euskirchen||01234-222743|D.Brockmann@smail.de||||||51|||||||23.02.2018|N|2|0189-881123||goran.rako@neg-velbert.de|N
Geier|Karolin|06.03.2009|||Lindlar||01234-218266|K.Geier@smail.de||||||51|||||||23.02.2018|N|2|0189-371842||caroline.freier@neg-velbert.de|N
Goltschmit|Andrea|14.08.2008|||Köln||01234-874518|A.Goltschmit@smail.de||||||51|||||||21.02.2018|N|2|0189-937518||isabel.schmidt@neg-velbert.de|N
Grünewald|Klaudia|27.06.2007|||Dortmund||01234-408180|K.Grünewald@smail.de||||||51|||||||23.02.2018|N|2|0189-823201||eslem.ataseven@neg-velbert.de|N
Hennings|Max|26.02.2008|||Dortmund||01234-368606|M.Hennings@smail.de||||||52|||||||23.02.2018|N|2|0189-404494||leon.glinka@neg-velbert.de|N
Hohemann|Jörg|02.06.2008|||Bottrop||01234-754152|J.Hohemann@smail.de||||||51|||||||21.02.2018|N|2|0189-419629||floris.harmel@neg-velbert.de|N
Kemper|Sophia|29.09.2008|||Gütersloh||01234-893079|S.Kemper@smail.de||||||51|||||||21.02.2018|N|2|0189-539791||charlotte.koegler@neg-velbert.de|N
Kerckow|Maximilian|13.06.2009|||Ratingen||01234-799625|M.Kerckow@smail.de||||||51|||||||23.02.2018|N|2|0189-945409||rafael.kieseler@neg-velbert.de|N
Kotthof|Gabriele|03.03.2008|||Köln||01234-808674|G.Kotthof@smail.de||||||51|||||||23.02.2018|N|2|0189-156991||aysima.kilic@neg-velbert.de|N
Lindemann|Sophia|31.01.2009|||Bad Sassendorf||01234-428032|S.Lindemann@smail.de||||||52|||||||22.02.2018|N|2|0189-684701||josefina.benke@neg-velbert.de|N
Lochen|Sara|13.08.2008|||Düsseldorf||01234-462375|S.Lochen@smail.de||||||51|||||||21.02.2018|N|2|0189-268797||marie.kleineborgmann@neg-velbert.de|N
Lovick|Birgit|24.06.2007|||Werther||01234-518705|B.Lovick@smail.de||||||51|||||||22.02.2018|N|2|0189-856194||liah.lange@neg-velbert.de|N
Maria|Christine|20.05.2008|||Köln||01234-510166|C.Maria@smail.de||||||51|||||||23.02.2018|N|2|0189-236390||samantha.blotenberg@neg-velbert.de|N
Mehrings|Ines|29.06.2008|||Mönchengladbach||01234-452324|I.Mehrings@smail.de||||||51|||||||22.02.2018|N|2|0189-354379||melissa.knebel@neg-velbert.de|N
Mörchen|Philipp|01.09.2008|||Rommerskirchen||01234-648708|P.Mörchen@smail.de||||||51|||||||22.02.2018|N|2|0189-801058||tom.klaka@neg-velbert.de|N
Neumann|Andreas|07.08.2008|||Troisdorf||01234-394258|A.Neumann@smail.de||||||51|||||||23.02.2018|N|2|0189-229690||sion.kuzina@neg-velbert.de|N
Porselt|Ulrike|24.02.2008|||Gelsenkirchen||01234-910117|U.Porselt@smail.de|163|||||51|||||||26.02.2018|N|2|0189-896543||rojda.yilmaz@neg-velbert.de|N
Rebbereh|Max|06.09.2008|||Bad Laasphe||01234-950325|M.Rebbereh@smail.de||||||51|||||||21.02.2018|N|2|0189-484263||mattheo.kern@neg-velbert.de|N
Rennerich|Sophie|10.01.2008|||Südlohn||01234-203708|S.Rennerich@smail.de||||||51|||||||23.02.2018|N|2|0189-893006||alara.sahin@neg-velbert.de|N
Sanders|Sabrina|28.02.2008|||Dieburg||01234-839804|S.Sanders@smail.de||||||51|||||||23.02.2018|N|2|0189-548132||noraya.bouzouf@neg-velbert.de|N
Schlick|Steffen|19.12.2007|||Dortmund||01234-383142|S.Schlick@smail.de||||||51|||||||22.02.2018|N|2|0189-191784||niko.mrugalla@neg-velbert.de|N
Schulte-Dabrock|Laura|05.01.2008|||Gelsenkirchen||01234-108912|L.Schulte-Dabrock@smail.de||||||51|||||||23.02.2018|N|3|0189-871569||tala.alhomsi@neg-velbert.de|N
Schulze-Dabrock|Jörg|07.11.2008|||Essen||01234-325966|J.Schulze-Dabrock@smail.de||||||51|||||||23.02.2018|N|2|0189-175828||aaron.winter@neg-velbert.de|N
Schuster|Anja|07.07.2007|||Köln||01234-574744|A.Schuster@smail.de||||||51|||||||05.02.2020|N|2|0189-924392||mara.yikmis@neg-velbert.de|N
Schwenninger|Sophia|22.01.2009|||Meerbusch||01234-854237|S.Schwenninger@smail.de|163|||||51|||||||23.02.2018|N|2|0189-598690||beyza.goerguelue@neg-velbert.de|N
Zurlohe|Franziska|18.02.2008|||Köln||01234-673859|F.Zurlohe@smail.de||||||51|||||||21.02.2018|N|2|0189-499655||enia.crone@neg-velbert.de|N
Abraham|René|16.09.2007|||Mülheim||01234-137986|R.Abraham@smail.de||||||51|||||||31.08.2018|N|2|0189-663923||konst.diamantopoulos@neg-velbert.de|N
Amler|Jessika|23.11.2007|||Bielefeld||01234-561500|J.Amler@smail.de||||||51|||||||23.02.2017|N|2|0189-388101||katharina.herm@neg-velbert.de|N
Brot|Niklas|09.02.2007|||Möhnesee||01234-283228|N.Brot@smail.de||||||51|||||||01.03.2017|N|2|0189-303145||jan.laupenmuehlen@neg-velbert.de|N
Bullerbeck|Christina|29.12.2006|||Dortmund||01234-517372|C.Bullerbeck@smail.de||||||51|||||||01.03.2017|N|2|0189-315945||miriel.ludemann@neg-velbert.de|N
Ford|Martin|10.05.2007|||Bergisch Gladbach||01234-417761|M.Ford@smail.de||||||51|||||||01.03.2017|N|2|0189-161130||jordan.nosbers@neg-velbert.de|N
Frahm|Lea|24.12.2006|||Dortmund||01234-839192|L.Frahm@smail.de||||||51|||||||22.02.2017|N|2|0189-593004||evelyn.kuhs@neg-velbert.de|N
Gabel|Lukas|23.02.2007|||Remscheid||01234-330158|L.Gabel@smail.de||||||51|||||||20.02.2017|N|2|0189-488247||max.schulte@neg-velbert.de|N
Gabel|Juliane|24.10.2006|||Münster||01234-802173|J.Gabel@smail.de||||||51|||||||01.03.2017|N|2|0189-588244||marissa.mueller@neg-velbert.de|N
Gauert|Christina|30.01.2007|||Köln||01234-185041|C.Gauert@smail.de||||||51|||||||30.08.2018|N|3|0189-325657||eleni.diamantopoulou@neg-velbert.de|N
Geller|Claudia|17.03.2007|||Ochtrup||01234-359148|C.Geller@smail.de||||||51|||||||22.02.2017|N|2|0189-878926||dilara.soezen@neg-velbert.de|N
Haardt|Ute|09.02.2007|||Neunkirchen-Seelscheid||01234-143617|U.Haardt@smail.de||||||51|||||||22.02.2017|N|2|0189-228453||alicia.zimmermann@neg-velbert.de|N
Hengst|Martina|06.09.2007|||Höxter||01234-703871|M.Hengst@smail.de||||||52|||||||22.02.2017|N|2|0189-557024||fiona.apeler@neg-velbert.de|N
Klauser-Baumgartner|Doreen|28.04.2007|||Menden||01234-696576|D.Klauser-Baumgartner@smail.de||||||51|||||||22.02.2017|N|2|0189-414444||yvonne.kuepper@neg-velbert.de|N
Kloos|Klaus|07.08.2007|||Oberhausen||01234-469293|K.Kloos@smail.de||||||51|||||||02.03.2017|N|2|0189-654624||tim.lusebrink@neg-velbert.de|N
Miehlich|Lisa|10.04.2007|||Münster||01234-545215|L.Miehlich@smail.de||||||51|||||||01.03.2017|N|2|0189-868481||juli.breitgraf@neg-velbert.de|N
Prillwitz|Marko|30.03.2007|||Arnsberg||01234-726733|M.Prillwitz@smail.de||||||51|||||||01.03.2017|N|2|0189-809409||gavin.hieke@neg-velbert.de|N
Rickends|Christine|05.05.2007|||Köln||01234-247982|C.Rickends@smail.de|163|||||51|||||||01.03.2017|N|2|0189-306293||miray.celik@neg-velbert.de|N
Roßbecher|Ralph|22.08.2007|||Mönchengladbach||01234-749561|R.Roßbecher@smail.de||||||51|||||||01.03.2017|N|2|0189-488759||ryan.esser@neg-velbert.de|N
Schuff|Karolin|25.11.2007|||Sassenberg||01234-739450|K.Schuff@smail.de||||||51|||||||22.02.2017|N|2|0189-320318||lisa.nikulla@neg-velbert.de|N
Schulte-Pröbstinck|Annett|23.11.2007|||Bielefeld||01234-339517|A.Schulte-Pröbstinck@smail.de||||||51|||||||01.03.2017|N|2|0189-141630||indira.gupta@neg-velbert.de|N
Schwidetzky|Claudia|17.06.2008|||Oberhausen||01234-958732|C.Schwidetzky@smail.de||||||52|||||||01.03.2017|N|1|0189-785920||emilia.riegels@neg-velbert.de|N
Sjöberg|Benjamin|18.09.2007|||Wettringen||01234-214205|B.Sjöberg@smail.de||||||51|||||||22.02.2017|N|2|0189-296695||florian.kaiser@neg-velbert.de|N
Twern|Tobias|23.10.2006|||Schöppingen||01234-237122|T.Twern@smail.de||||||51|||||||01.03.2017|N|2|0189-538595||jan.kalbheim@neg-velbert.de|N
Vohlheim|Karin|20.07.2006|||Wuppertal||01234-251683|K.Vohlheim@smail.de||||||51|||||||15.02.2016|N|2|0189-235554||ledina.bucpapaj@neg-velbert.de|N
Willmott|Steffen|25.07.2007|||Eschweiler||01234-282172|S.Willmott@smail.de||||||51|||||||22.02.2017|N|2|0189-151779||noah.hohn@neg-velbert.de|N
Willmott|Stefanie|09.04.2007|||Warburg||01234-323767|S.Willmott@smail.de||||||51|||||||22.02.2017|N|2|0189-780013||paula.graeber@neg-velbert.de|N
Bruhn|Marco|16.04.2007|||Steinheim||01234-109987|M.Bruhn@smail.de||||||51|||||||22.02.2017|N|2|0189-685166||jonathan.hany@neg-velbert.de|N
Danielsen|Anja|22.11.2006|||Bad Honnef||01234-665565|A.Danielsen@smail.de||||||51|||||||01.03.2017|N|2|0189-720026||fabiana.micillo@neg-velbert.de|N
Dodson|Stefanie|21.11.2007|||Bergheim||01234-581941|S.Dodson@smail.de||||||51|||||||01.03.2017|N|2|0189-749700||lina.hoerentrup@neg-velbert.de|N
Drypollak|Lukas|09.10.2007|||Köln||01234-529141|L.Drypollak@smail.de||||||51|||||||01.03.2017|N|2|0189-372360||jakob.welzel@neg-velbert.de|N
Heimge|Ulrike|23.11.2007|||Meschede||01234-493601|U.Heimge@smail.de||||||51|||||||23.02.2017|N|2|0189-200277||annalena.gruen@neg-velbert.de|N
Hummen|Stefanie|24.04.2007|||Telgte||01234-664892|S.Hummen@smail.de||||||51|||||||04.07.2017|N|2|0189-625647||amelie.sommerfeld@neg-velbert.de|N
Ihlenfeld|Ulrike|05.08.2007|||Bielefeld||01234-190974|U.Ihlenfeld@smail.de||||||51|||||||22.02.2017|N|2|0189-208853||paula.voss@neg-velbert.de|N
Klaße|Anna|07.09.2007|||Bielefeld||01234-981802|A.Klaße@smail.de||||||51||||||01.08.2015|22.02.2017|N|2|0189-782744||iffat.fatima@neg-velbert.de|N
Kohl|Susanne|17.10.2007|||Wesel||01234-165047|S.Kohl@smail.de||||||51|||||||01.03.2017|N|2|0189-364851||clara.hoerentrup@neg-velbert.de|N
Lettermann|Annett|14.12.2007|||Haan||01234-169184|A.Lettermann@smail.de||||||51|||||||01.03.2017|N|2|0189-826919||elena.salonski@neg-velbert.de|N
Liebisch|Vanessa|03.08.2007|||Detmold||01234-239951|V.Liebisch@smail.de||||||51|||||||01.03.2017|N|2|0189-863228||esma.erdem@neg-velbert.de|N
Lottmann|Angelika|20.01.2007|||Köln||01234-591558|A.Lottmann@smail.de||||||51|||||||22.02.2017|N|2|0189-160922||alexandra.straeter@neg-velbert.de|N
Mandelsloh|Sven|31.03.2007|||Velen||01234-454065|S.Mandelsloh@smail.de||||||51|||||||22.02.2017|N|2|0189-274694||lennard.burmester@neg-velbert.de|N
Mayfield|Anna|31.10.2006|||Gladbeck||01234-485912|A.Mayfield@smail.de||||||51|||||||01.03.2017|N|2|0189-874312||sena.celik@neg-velbert.de|N
Mennemann|Michael|07.09.2007|||Leverkusen||01234-268057|M.Mennemann@smail.de||||||51|||||||22.02.2017|N|2|0189-220021||mik.poerschke@neg-velbert.de|N
Merten|Sabrina|06.09.2007|||Marienmünster||01234-857408|S.Merten@smail.de||||||51|||||||02.03.2017|N|2|0189-158490||aicha.alioui@neg-velbert.de|N
Nöthlich|Claudia|03.06.2007|||Holzwickede||01234-827438|C.Nöthlich@smail.de||||||51|||||||22.02.2017|N|2|0189-321809||marisa.faustmann@neg-velbert.de|N
Oestermann|Dennis|28.07.2007|||Minden||01234-362823|D.Oestermann@smail.de||||||51|||||||01.03.2017|N|2|0189-766839||aleksandar.paunovic@neg-velbert.de|N
Rau|Kathrin, Katrin|05.01.2007|||Troisdorf||01234-130129|K.Rau@smail.de||||||51|||||||01.03.2017|N|2|0189-504879||berrak.karli@neg-velbert.de|N
Sauvain|Dennis|19.07.2007|||Castrop-Rauxel||01234-827912|D.Sauvain@smail.de|163|||||51|||||||22.02.2017|N|2|0189-381377||muhammed.fitoz@neg-velbert.de|N
Schauster|Uwe|25.10.2007|||Neuss||01234-218004|U.Schauster@smail.de||||||51|||||||22.02.2017|N|2|0189-988664||henrik.schluecker@neg-velbert.de|N
Schnoor|Maik|30.07.2007|||Bochum||01234-274346|M.Schnoor@smail.de||||||51|||||||23.02.2017|N|2|0189-827354||jorin.graedig@neg-velbert.de|N
Schulte|Ulrich|06.06.2006|||Bottrop||01234-368753|U.Schulte@smail.de||||||51|||||||01.03.2017|N|2|0189-874196||georgios.tasikas@neg-velbert.de|N
Schulte-Janning|Sophie|13.03.2007|||Dieburg||01234-241261|S.Schulte-Janning@smail.de||||||51|||||||01.03.2017|N|2|0189-545533||maimouna.bah@neg-velbert.de|N
Speer|Sabine|31.08.2007|||Dormagen||01234-327473|S.Speer@smail.de||||||51|||||||01.03.2017|N|2|0189-328312||joleen.reithmeier@neg-velbert.de|N
Tamsen|Jürgen|27.11.2007|||Witten||01234-578143|J.Tamsen@smail.de||||||51|||||||02.11.2018|N|2|0189-560133||yigit.kesici@neg-velbert.de|N
Timmermann|Katja|25.05.2006|||Troisdorf||01234-206820|K.Timmermann@smail.de||||||51|||||||02.11.2018|N|2|0189-335092||merve.kesici@neg-velbert.de|N
Wilkau|Frank|06.10.2007|||Münster||01234-146572|F.Wilkau@smail.de||||||51|||||||01.03.2017|N|2|0189-557375||apostolos.vasilakis@neg-velbert.de|N
Ackolck|Monika|16.03.2007|||Duisburg||01234-469192|M.Ackolck@smail.de||||||51|||||||01.03.2017|N|2|0189-650574||jule.haering@neg-velbert.de|N
Bolt|Christian|13.05.2007|||Mettmann||01234-635626|C.Bolt@smail.de||||||51|||||||01.03.2017|N|2|0189-261069||jonas.tauscher@neg-velbert.de|N
Bülcke|Markus|02.05.2007|||Essen||01234-392247|M.Bülcke@smail.de||||||51|||||||01.03.2017|N||0189-829367||jetmir.berisha@neg-velbert.de|N
Clemens|Kevin|11.08.2007|||Soest||01234-631334|K.Clemens@smail.de||||||51|||||||01.03.2017|N|2|0189-940147||joshua.martini@neg-velbert.de|N
Fahnemann|Ralph|16.05.2006|||Duisburg||01234-890586|R.Fahnemann@smail.de||||||51|||||||16.02.2016|N|2|0189-179076||nils.daeblitz@neg-velbert.de|N
Fißler|Philipp|06.07.2007|||Finnentrop||01234-810269|P.Fißler@smail.de||||||51|||||||01.03.2017|N|2|0189-955513||dario.bundavica@neg-velbert.de|N
Frieling|Jana|06.05.2007|||Much||01234-422049|J.Frieling@smail.de||||||51|||||||02.03.2017|N|2|0189-847523||denice.isbaner@neg-velbert.de|N
Gröper|Manuela|30.08.2007|||Köln||01234-282964|M.Gröper@smail.de||||||51|||||||22.02.2017|N|2|0189-384234||amelie.weise@neg-velbert.de|N
Große-Vorspoel|Klaus|31.12.2006|||Brakel||01234-633412|K.Große-Vorspoel@smail.de||||||51|||||||23.02.2017|N|3|0189-987934||til.schwark@neg-velbert.de|N
Hansen|Christina|10.04.2007|||Beelen||01234-770996|C.Hansen@smail.de||||||51|||||||01.03.2017|N|2|0189-372185||lea.hoeller@neg-velbert.de|N
Hauptmann|Torsten|08.01.2006|||Duisburg||01234-804775|T.Hauptmann@smail.de|||||||||||||30.08.2019|N|3|0189-433365||filip.petkowski@neg-velbert.de|N
Hensen|Christian|30.03.2007|||Metelen||01234-355088|C.Hensen@smail.de|163|||||51|||||||28.08.2019|N|2|0189-794730||cagatay.eminler@neg-velbert.de|N
Hönighaus|Ralf|02.07.2007|||Detmold||01234-541731|R.Hönighaus@smail.de|163|||||51|||||||01.03.2017|N|2|0189-621509||alp.celik@neg-velbert.de|N
Huber|Bernd|15.12.2006|||Nordwalde||01234-984634|B.Huber@smail.de||||||51|||||||01.03.2017|N|2|0189-992386||onur.ksoll@neg-velbert.de|N
Köster|Manuela|01.09.2007|||Moers||01234-489123|M.Köster@smail.de||||||51|||||||22.02.2017|N|2|0189-497548||beyza.tutar@neg-velbert.de|N
Krude|Lukas|20.02.2006|||Bonn||01234-629237|L.Krude@smail.de||||||51|||||||27.02.2017|N|2|0189-811292||tom.voelker@neg-velbert.de|N
Levysohn|Marko|27.11.2006|||Bochum||01234-972378|M.Levysohn@smail.de||||||51|||||||23.02.2017|N|2|0189-288428||bennet.joellenbeck@neg-velbert.de|N
Mackiewicz|Eric|26.07.2007|||Solingen||01234-297411|E.Mackiewicz@smail.de||||||51|||||||16.01.2020|N|2|0189-126106||mehmet.demirci@neg-velbert.de|N
