Nachname|Vorname|Geburtsdatum|Geschlecht|Status|PLZ|Ort|Straße|Aussiedler|1. Staatsang.|Konfession|StatistikKrz Konfession|Aufnahmedatum|Abmeldedatum Religionsunterricht|Anmeldedatum Religionsunterricht|Schulpflicht erf.|Reform-Pädagogik|Nr. Stammschule|Jahr|Abschnitt|Jahrgang|Klasse|Schulgliederung|OrgForm|Klassenart|Fachklasse|Noch frei|Verpflichtung Sprachförderkurs|Teilnahme Sprachförderkurs|Einschulungsjahr|Übergangsempf. JG5|Jahr Wechsel S1|1. Schulform S1|Jahr Wechsel S2|Förderschwerpunkt|2. Förderschwerpunkt|Schwerstbehinderung|Autist|LS Schulnr.|LS Schulform|Herkunft|LS Entlassdatum|LS Jahrgang|LS Versetzung|LS Reformpädagogik|LS Gliederung|LS Fachklasse|LS Abschluss|Abschluss|Schulnr. neue Schule|Zuzugsjahr|Geburtsland Schüler|Geburtsland Mutter|Geburtsland Vater|Verkehrssprache|Dauer Kindergartenbesuch|Ende Eingliederungsphase|Ende Anschlussförderung
Lodde|Leon|20.01.2009|m|2|40213|Düsseldorf|Chaussee nach Berlin 78|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11||||||||||158||||
Oertzen|Matthias|19.07.2009|m|2|48351|Everswinkel|Straße zur Gaststätte Müggelseeperle 59|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11||||||||||||||
Pick|Uwe|18.02.2010|m|2|52351|Düren|Schillerplatz 234|N|000|Zeugen Jehovas|XR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|Gy||||N|N|185486|G|G|31.07.2019|04|11||||||||||||||
Recken|Jennifer|13.05.2009|w|2|47226|Duisburg|Eichenallee 187|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|R|2019|GY||||N|N|129100|G|G|31.07.2019|04|11|||||||||152|152||||
Serocka|Niklas|30.01.2009|m|2|53859|Niederkassel|Bukesweg 121|N|000|evangelisch|ER|03.02.2020|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015||2020|Gy||||N|N|191528|FW|FW|31.01.2020|05|||||||||||||||
Staels|Vanessa|17.02.2009|w|2|44629|Herne|Erwin-Bock-Straße 251|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11|||||||||160|160|ru|||
Steinmüller|Marina|10.09.2009|w|2|52372|Kreuzau|Schmausstraße 98|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11|||||||||152|152||||
Voss|Kerstin|15.05.2009|w|2|33617|Bielefeld|Lindenstraße 468|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07A|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|124163|G|G|31.07.2019|04|11||||||||||||||
Baumeister|Ulrike|20.06.2009|w|2|53819|Neunkirchen-Seelscheid|Spreegäßlein 18|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R|2019|GY||||N|N|130990|G|G|31.07.2019|04|11|||||||||163|||||
de Peyrelongue|Stefanie|02.03.2010|w|2|59558|Lippstadt|Brauhofstraße 439|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|131581|G|G|31.07.2019|04|11||||||||||163||||
Eigener|Antje|12.06.2009|w|2|52068|Aachen|Am Wuhlebach 331|N|000|griechisch-orthodox|OR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|111259|G|G|31.07.2019|04|11|||||||||||el|||
Gelck|Tom|13.10.2009|m|2|44623|Herne|Nach dem neuen Stifte 285|N|000|alevitisch|AR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R|2019|GY||||N|N|131581|G|G|31.07.2019|04|11|||||||||000|000|tr|||
Giessler|Klaus|02.04.2009|m|2|44145|Dortmund|Pohlestraße 251|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|116490|G|G|31.07.2019|04|11||||||||444|444|444|ru|||
Ingwers|Christine|12.07.2009|w|2|47447|Moers|Klandersgasse 50|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|111259|G|G|31.07.2019|04|11|||||||||152|152||||
Jacob|Claudia|03.03.2009|w|2|53121|Bonn|Danckelmannstraße 489|N|000|alevitisch|AR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|111259|G|G|31.07.2019|04|11||||||||||||||
Korb|Laura|03.03.2009|w|2|40667|Meerbusch|Chaussee nach Berlin 342|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|120443|G|G|31.07.2019|04|11||||||||||137||||
Lorenses|Tim|13.11.2009|m|2|33039|Nieheim|Bukesweg 48|N|475|orthodoxe|XO|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2016|R/Gy|2019|GY||||N|N|192557|G|G|31.07.2019|04|11|||||||2017|475|475|475|ar|||
Marten|Ines|26.06.2009|w|2|44143|Dortmund|Am Müggelberg 156|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|130990|G|G|31.07.2019|04|11|||||||||245|245||||
Mennemann|Jens|27.05.2009|m|2|44149|Dortmund|Schreberplatz 268|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R|2019|GY||||N|N|192557|G|G|31.07.2019|04|11|||||||||163|439||||
Meyer|Martina|17.02.2009|w|2|48369|Saerbeck|Kirchplatz 29|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|192557|G|G|31.07.2019|04|11||||||||||160||||
Niederschlag|Daniel|07.03.2009|m|2|40670|Meerbusch|Buschdorfer Straße 54|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|116490|G|G|31.07.2019|04|11||||||||||163|tr|||
Ottens|Juliane|08.01.2010|w|2|53757|Sankt Augustin|Mariannenstraße 147|N|000|alevitisch|AR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|103949|G|G|31.07.2019|04|11|||||||||163|163||||
Saint|Martina|05.07.2009|w|2|58339|Breckerfeld|Eschenallee 435|N|000|sikh|XR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|109101|G|G|31.07.2019|04|11|||||||||436|436|pa|||
Schulze-Heiming|Anja|16.05.2009|w|2|32657|Lemgo|Am Krusenick 44|N|134|griechisch-orthodox|OR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|R|2019|GY||||N|N|116490|G|G|31.07.2019|04|11|||||||2018|134|134|134|el||31.07.2021|
Stahlmann|Patrick|23.01.2009|m|2|48683|Ahaus|Raumbacher Straße 338|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|111259|G|G|31.07.2019|04|11||||||||||||||
Thoben|Julia|15.02.2009|w|2|59872|Meschede|Ebelallee 62|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|131581|G|G|31.07.2019|04|11||||||||||||||
van Diest|Paul|28.10.2008|m|2|59174|Kamen|Liebknechtstraße 101|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|131581|G|G|31.07.2019|04|11||||||||||||||
Volquartsen|Karin|19.01.2009|w|2|50129|Bergheim|Elstergrund 260|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07B|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|192557|G|G|31.07.2019|04|11||||||||||252|tr|||
Andresen|Katja|22.05.2009|w|2|47803|Krefeld|Am Spielplatz 319|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|118229|G|G|31.07.2019|04|11||||||||||||||
Bahnsen|Markus|08.01.2009|m|2|53937|Schleiden|Kleine Frankfurter Straße 324|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11||||||||||||||
Bruschius|Melanie|11.10.2009|w|2|59510|Lippetal|Apelstraße 115|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|Gy||||N|N|101138|G|G|31.07.2019|04|11|||||||||000|129|de|||
Conney|Andrea|09.01.2009|w|2|52379|Langerwehe|Fehleweg 203|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|129100|G|G|31.07.2019|04|11||||||||||||||
Creutzer|Anna|04.08.2009|w|2|40468|Düsseldorf|Klosterstraße 198|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|108017|G|G|31.07.2019|04|11||||||||||||||
Decker|Martin|10.04.2009|m|2|51643|Gummersbach|Beethovenstraße 268|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|135148|G|G|31.07.2019|04|11||||||||||||||
Eckbrett|Sara|19.08.2009|w|2|53173|Bonn|Am Schillertheater 491|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|Gy||||N|N|122580|G|G|31.07.2019|04|11||||||||||||||
Edden|Nadine|22.03.2009|w|2|47652|Weeze|Ahéstraße 100|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|118229|G|G|31.07.2019|04|11||||||||||||||
Grünholz|Christian|04.12.2008|m|2|46569|Hünxe|Schloßfreiheit 364|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11||||||||||||||
Hannemann|Kristian|03.05.2009|m|2|51766|Engelskirchen|Am Bahnhof Jungfernheide 333|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|109101|G|G|31.07.2019|04|11||||||||||||||
Hauth|Diana|01.07.2009|w|2|52379|Langerwehe|Schillerstraße 464|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|100870|G|G|31.07.2019|04|11||||||||||||||
Henning|Dominik|28.03.2008|m|2|48157|Münster|Klosterstraße 246|N|000|katholisch|KR|01.08.2018|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|109370|G|G|31.07.2018|04|11|||||||||152|||||
Heße|Christin|26.01.2009|w|2|48356|Nordwalde|Emrichstraße 155|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|133309|G|G|31.07.2019|04|11||||||||||||||
Lüche|Christina|22.09.2009|w|2|58239|Schwerte|Franklinstraße 381|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11||||||||||||||
Lütkens|Patrick|08.01.2009|m|2|51063|Köln|Eitelsdorfer Straße 180|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|133814|G|G|31.07.2019|04|11||||||||||||||
Mandelsloh|René|23.07.2009|m|2|59199|Bönen|Liebknechtstraße 322|N|000|islamisch|IR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11|||||||||000|475|de|||
Pohlmann|Jana|12.03.2009|w|2|45659|Recklinghausen|Siropsgasse 20|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11||||||||||||||
Roth|Mario|12.02.2009|m|2|59555|Lippstadt|Gutenbergplatz 134|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|118229|G|G|31.07.2019|04|11||||||||||||||
Samson-Himmelstjerna|Niklas|14.05.2009|m|2|40625|Düsseldorf|Gierkezeile 175|N|163|islamisch|IR|03.02.2020|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015||2019|||||N|N|160076|R|R|31.01.2020|05|11|||||||2019|163|163|163|tr||31.08.2022|
Tordsen|Sophie|08.12.2008|w|2|59557|Lippstadt|Elmsteiner Weg 6|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|118229|G|G|31.07.2019|04|11||||||||||||||
Tschudy|Nadine|20.09.2009|w|2|50933|Köln|Spreestraße 132|N|000|evangelisch|ER|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|133309|G|G|31.07.2019|04|11||||||||||||||
Usedom|Daniela|31.05.2009|w|2|41061|Mönchengladbach|Alkenweg 410|N|000|katholisch|KR|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|R/Gy|2019|GY||||N|N|100870|G|G|31.07.2019|04|11|||||||||152|152||||
Walpurgis|Maik|17.12.2008|m|2|59955|Winterberg|Kirch-Gasse 59|N|000|ohne Bekenntnis|OH|01.08.2019|||N|||2021|1|07|07C|GY9|1|RK|||N|N|2015|Gy|2019|GY||||N|N|110346|G|G|31.07.2019|04|11||||||||||||||
Bareyre|Kathrin, Katrin|24.03.2008|w|2|45149|Essen|Kleine Ackerstraße 13|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11|||||||||000|475|de|||
Basch|Doreen|24.06.2009|5|2|51427|Bergisch Gladbach|Ahornstraße 366|N|163|islamisch|IR|01.08.2020|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2015|Gy|2020|GY||||N|N|116490|G|G|31.07.2020||11|||||||2019|163|163|163|tr||01.03.2021|
Bunnell|Jörg|09.05.2008|m|2|51688|Wipperfürth|Spreegäßlein 61|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11|||||||||252|252|de|||
Burtonshall|Dieter|25.06.2008|m|2|45659|Recklinghausen|Stahnweg 375|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Düsterbeck|Thorsten|24.05.2008|m|2|52355|Düren|Forststraße 172|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11||||||||||||||
Freithoff|Vanessa|10.02.2008|w|2|57271|Hilchenbach|Alteneckstraße 336|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11|||||||||150|150|sq|||
Garrelts|Katharina|28.07.2008|w|2|59757|Arnsberg|Asseburgpfad 282|N|137|katholisch|KR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11|||||||||137|||||
Grötschel|Martin|08.02.2007|m|2|48143|Münster|Friedrichshagener Chaussee 130|N|000|islamisch|IR|01.08.2017|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2013|Gy|2017|Gy||||N|N|122257|G|G|31.07.2017|04|11||||||||||163||||
Haaren|Stefanie|11.08.2008|w|2|52391|Vettweiß|Aschenbrödelstraße 236|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|122257|G|G|31.07.2018|04|11|||||||||160|160|ru|||
Hunold|Stefanie|09.04.2008|w|2|44866|Bochum|Nalepastraße 326|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Janning|Ralf|18.06.2008|m|2|47166|Duisburg|Cardinalstraße 332|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11|||||||||163|163|tr|||
John|Brigitte|06.04.2008|w|2|45711|Datteln|Am Generalshof 71|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11||||||||||||||
Kanich|Nadine|08.12.2007|w|2|45478|Mülheim|Angersteinweg 201|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11|||||||||160|000|de|||
Kerckhoff|Markus|19.03.2008|m|2|42275|Wuppertal|Straße zum Müggelhort 426|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|122257|G|G|31.07.2018|04|11|||||||||163|163||||
Kleinert|Silke|22.04.2008|w|2|50129|Bergheim|Buttenstedtweg 133|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Kohle|Janina|19.10.2007|w|2|51373|Leverkusen|An der Krummen Lake 189|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11|||||||||163||tr|||
Lange|Ursula|31.10.2008|w|2|41238|Mönchengladbach|Chiemseestraße 307|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Lins|Sabrina|22.04.2008|w|2|48145|Münster|Erpetaler Weg 68|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Macmillan|David|05.12.2008|m|2|58285|Gevelsberg|Rainweg 483|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|151130|G|G|31.07.2018|04|11||||||||||137|it|||
Menne|Jürgen|20.02.2008|m|2|59929|Brilon|Spreegäßlein 200|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Menzel|Dennis|25.08.2008|m|2|33102|Paderborn|Ostendstraße 44|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|122257|G|G|31.07.2018|04|11||||||||||||||
Molitor|Barbara|26.01.2009|w|2|40723|Hilden|Koppenplatz 384|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|133309|G|G|31.07.2018|04|11||||||||||||||
Möllmann|David|01.10.2008|m|2|45772|Marl|Schwarzer Weg 79|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Reichenstein|Jessika|02.11.2008|w|2|59302|Oelde|Mandrellaplatz 203|N|000|evangelisch freikirchlich|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Rutzky|Jörg|27.08.2008|m|2|48691|Vreden|Sportpromenade 90|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Schmieden|Julia|06.06.2008|w|2|47546|Kalkar|Gotha-Allee 179|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11||||||||||||||
Trapp|Sandra|03.09.2008|w|2|59427|Unna|Glockenturmstraße 104|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|122580|G|G|31.07.2018|04|11||||||||||122||||
Ulrich|Claudia|17.09.2008|w|2|46419|Isselburg|Turmallee	 45|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11|||||||||000|163|tr|||
Vahlpagel|Uta|24.02.2009|w|2|45327|Essen|Birnbaumer Straße 189|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2015|Gy|2018|Gy||||N|N|133309|G|G|31.07.2018|04|11||||||||||||||
Westphal|Torsten|04.06.2008|m|2|40215|Düsseldorf|Luisenufer 298|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08A|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|110346|G|G|31.07.2018|04|11||||||||||||||
Addens|Benjamin|13.07.2008|m|2|42105|Wuppertal|Alter Radelander Weg 101|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11||||||||||||||
Berg|Laura|03.11.2007|w|2|44269|Dortmund|Neue Kommandantenstraße 255|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|103949|G|G|31.07.2018|04|11||||||||||165||||
Berg|Jennifer|20.03.2008|w|2|44629|Herne|Moltkestraße 328|N|000|griechisch-orthodox|OR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|192557|G|G|31.07.2018|04|11|||||||||348|134|de|||
Bergmann|Maria|18.10.2008|w|2|42653|Solingen|Bolivarallee 232|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11||||||||||||||
Bisson|Lena|29.06.2008|w|2|40882|Ratingen|Feldblumenweg 493|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|112872|G|G|31.07.2018|04|11||||||||||||||
Bödefeld|Thorsten|04.09.2008|m|2|46348|Raesfeld|Oberspreestraße 119|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11||||||||||122||||
Büttner|Kristian|15.05.2008|m|2|33332|Gütersloh|Kaiser-Wilhelm-Straße 447|N|000|griechisch-orthodox|OR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|130990|G|G|31.07.2018|04|11||||||||||||||
Colman|Sophie|13.10.2008|w|2|57072|Siegen|Fichtenauer Straße 162|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11||||||||||||||
Gabriels|Steffen|15.04.2008|m|2|48249|Dülmen|Stralauer Straße 497|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11||||||||||||||
Hesse|Klaus|18.11.2008|m|2|51147|Köln|Schillerplatz 371|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||||||
Hessenius|Lukas|26.02.2008|m|2|58339|Breckerfeld|Schröderdamm 199|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|R/Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11||||||||||||||
Himmelstützer|Karolin|14.08.2008|w|2|50996|Köln|Baderseestraße 426|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|131581|G|G|31.07.2018|04|11|||||||||160|160|ru|||
Hintze|Simone|04.03.2008|w|2|52388|Nörvenich|Stahnweg 256|N|000|ohne Bekenntnis|OH|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|100870|G|G|31.07.2018|04|11||||||||||||||
Kiesling|Juliane|10.06.2008|w|2|53225|Bonn|Schwarzer Weg 356|N|000|islamisch|IR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|124163|G|G|31.07.2018|04|11||||||||||163|tr|||
Krawielitzki|Kathrin, Katrin|28.09.2008|w|2|52134|Herzogenrath|Koblankstraße 125|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|133176|G|G|31.07.2018|04|11|||||||||160|160||||
Lassens|Angelika|03.09.2008|w|2|40237|Düsseldorf|Brixplatz 3|N|000|evangelisch|ER|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|116490|G|G|31.07.2018|04|11||||||||||||||
Leve|Antje|28.07.2008|w|2|51373|Leverkusen|Straße am Walle 481|N|000|katholisch|KR|01.08.2018|||N|||2021|1|08|08B|GY8|1|RK|||N|N|2014|Gy|2018|Gy||||N|N|130990|G|G|31.07.2018|04|11||||||||||||||
